category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p.adjust.over_represented	p.adjust.under_represented
GO:0003735	1.07022180106861e-33	1	63	122	structural constituent of ribosome	MF	2.59849853299458e-30	1
GO:0005840	2.1720401582763e-32	1	59	111	ribosome	CC	2.63685675214743e-29	1
GO:0006412	6.83301950854629e-30	1	58	117	translation	BP	5.53019045558346e-27	1
GO:0005622	2.47077910839218e-19	1	61	218	intracellular	CC	1.49976291879405e-16	1
GO:0032040	7.83811911383904e-14	1	16	24	small-subunit processome	CC	3.80619064168024e-11	1
GO:0009986	1.88478464487088e-08	0.999999995697447	28	113	cell surface	CC	7.62709519624417e-06	1
GO:0005730	2.80161434180938e-08	0.999999999158319	9	13	nucleolus	CC	9.71759945987597e-06	1
GO:0042254	2.43921724424064e-07	0.999999989334413	9	14	ribosome biogenesis	BP	7.40302433627035e-05	1
GO:0006364	3.21013457142078e-07	0.999999978270922	10	20	rRNA processing	BP	8.66022971045516e-05	1
GO:0003723	8.1958050031004e-06	0.999997905821643	20	91	RNA binding	MF	0.00198994145475278	1
GO:0015935	0.000112761159315384	0.999993418463327	6	10	small ribosomal subunit	CC	0.0248894631652502	1
GO:0006414	0.000199978663615394	0.999984901895604	6	12	translational elongation	BP	0.0404623496048481	1
GO:0030446	0.000290801768926919	0.999928770191613	13	53	hyphal cell wall	CC	0.0543128226888122	1
GO:0005576	0.000636274038267038	0.999782385646993	18	95	extracellular region	CC	0.110348097493741	1
GO:0004386	0.00111387955295845	0.999728085502768	10	67	helicase activity	MF	0.180299970305541	1
GO:0035690	0.0015637407833685	0.999230257884969	32	268	cellular response to drug	BP	0.237297663876169	1
GO:0042273	0.00559223973002806	1	2	2	ribosomal large subunit biogenesis	BP	0.774477178234933	1
GO:0030515	0.00574159357834794	0.999736085079244	3	5	snoRNA binding	MF	0.774477178234933	1
GO:0016491	0.00657115816001702	0.996471631834585	31	234	oxidoreductase activity	MF	0.83972484276428	1
GO:0032119	0.00754684122502441	1	2	2	sequestering of zinc ion	BP	0.860420482359428	1
GO:0004367	0.00779623171824853	1	2	2	glycerol-3-phosphate dehydrogenase [NAD+] activity	MF	0.860420482359428	1
GO:0046168	0.00779623171824853	1	2	2	glycerol-3-phosphate catabolic process	BP	0.860420482359428	1
GO:0022625	0.00955537488850051	1	2	2	cytosolic large ribosomal subunit	CC	1	1
GO:0009982	0.0134484285421202	0.998895752125429	3	7	pseudouridine synthase activity	MF	1	1
GO:0003899	0.0136454582267529	0.996846028835811	6	27	DNA-directed 5'-3' RNA polymerase activity	MF	1	1
GO:0009231	0.0143283113292999	0.998902616315711	3	6	riboflavin biosynthetic process	BP	1	1
GO:0015934	0.0157349500420348	0.997795820662243	4	11	large ribosomal subunit	CC	1	1
GO:0009331	0.0177431419380498	0.999509136750101	2	3	glycerol-3-phosphate dehydrogenase complex	CC	1	1
GO:0004070	0.0222183520370421	1	1	1	aspartate carbamoyltransferase activity	MF	1	1
GO:0006383	0.0237394132664281	0.999229908371472	2	3	transcription by RNA polymerase III	BP	1	1
GO:0009098	0.0252177898342444	0.998817723833766	2	4	leucine biosynthetic process	BP	1	1
GO:0003676	0.0269121238597271	0.984783339739846	24	240	nucleic acid binding	MF	1	1
GO:0016887	0.0273059156331812	0.993274840185989	5	40	ATPase activity	MF	1	1
GO:0001522	0.0285456250625736	0.996521232938739	3	9	pseudouridine synthesis	BP	1	1
GO:0006072	0.0304209530247467	0.998419134969914	2	4	glycerol-3-phosphate metabolic process	BP	1	1
GO:0016614	0.0321994784508474	0.998273364664338	2	4	oxidoreductase activity, acting on CH-OH group of donors	MF	1	1
GO:0009277	0.0378747267114889	0.986152632137167	8	50	fungal-type cell wall	CC	1	1
GO:0006351	0.0378763199026656	0.984047629434451	10	92	transcription, DNA-templated	BP	1	1
GO:0043021	0.0477797099843374	1	1	1	ribonucleoprotein complex binding	MF	1	1
GO:0030445	0.0505707234848743	0.980427272954332	8	49	yeast-form cell wall	CC	1	1
GO:0000055	0.0505738184742683	1	1	1	ribosomal large subunit export from nucleus	BP	1	1
GO:0042803	0.0538882825530709	0.995191942617027	2	6	protein homodimerization activity	MF	1	1
GO:0042928	0.0599053458829249	1	1	1	ferrichrome transport	BP	1	1
GO:0042929	0.0599053458829249	1	1	1	ferrichrome transmembrane transporter activity	MF	1	1
GO:0055085	0.060505124485061	0.962028428733449	26	277	transmembrane transport	BP	1	1
GO:0003883	0.0687889497398332	1	1	1	CTP synthase activity	MF	1	1
GO:0006696	0.069285435067528	0.986981173672275	3	12	ergosterol biosynthetic process	BP	1	1
GO:0009451	0.0701971933132862	0.992720023080197	2	6	RNA modification	BP	1	1
GO:0004451	0.071568411382521	1	1	1	isocitrate lyase activity	MF	1	1
GO:0005621	0.0720098464804446	1	1	1	cellular bud scar	CC	1	1
GO:0033101	0.0720098464804446	1	1	1	cellular bud membrane	CC	1	1
GO:0003938	0.0747380357447545	1	1	1	IMP dehydrogenase activity	MF	1	1
GO:0006863	0.0751687547647964	1	1	1	purine nucleobase transport	BP	1	1
GO:0015856	0.0751687547647964	1	1	1	cytosine transport	BP	1	1
GO:0019829	0.0763172858789346	0.990070605968903	2	14	cation-transporting ATPase activity	MF	1	1
GO:0008120	0.0769783390686434	1	1	1	ceramide glucosyltransferase activity	MF	1	1
GO:0043132	0.0771888362050231	1	1	1	NAD transport	BP	1	1
GO:1903561	0.0776301677327139	0.966763012896517	8	58	extracellular vesicle	CC	1	1
GO:0006071	0.0785695977478369	0.990858798597715	2	7	glycerol metabolic process	BP	1	1
GO:1990961	0.0791291862794601	0.990178713135697	2	9	drug transmembrane export	BP	1	1
GO:0000462	0.0838756975534944	1	1	1	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	BP	1	1
GO:0009186	0.0843414342417638	1	1	1	deoxyribonucleoside diphosphate metabolic process	BP	1	1
GO:0009263	0.0843414342417638	1	1	1	deoxyribonucleotide biosynthetic process	BP	1	1
GO:0042973	0.0863256233647651	1	1	1	glucan endo-1,3-beta-D-glucosidase activity	MF	1	1
GO:0016429	0.0877809994332206	1	1	1	tRNA (adenine-N1-)-methyltransferase activity	MF	1	1
GO:0030488	0.0877809994332206	1	1	1	tRNA methylation	BP	1	1
GO:0031515	0.0877809994332206	1	1	1	tRNA (m1A) methyltransferase complex	CC	1	1
GO:0003862	0.0881952642875892	1	1	1	3-isopropylmalate dehydrogenase activity	MF	1	1
GO:0000248	0.0884407077078506	1	1	1	C-5 sterol desaturase activity	MF	1	1
GO:0003838	0.0886030206495978	1	1	1	sterol 24-C-methyltransferase activity	MF	1	1
GO:0035672	0.0887482765456677	0.997945433505181	1	2	oligopeptide transmembrane transport	BP	1	1
GO:0035673	0.0887482765456677	0.997945433505181	1	2	oligopeptide transmembrane transporter activity	MF	1	1
GO:0000328	0.0891626900118362	1	1	1	fungal-type vacuole lumen	CC	1	1
GO:0004418	0.0898625427901647	1	1	1	hydroxymethylbilane synthase activity	MF	1	1
GO:0003935	0.0911927389834865	1	1	1	GTP cyclohydrolase II activity	MF	1	1
GO:0016616	0.0914288082104518	0.969244127892026	5	29	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	MF	1	1
GO:0018195	0.0916146956309564	1	1	1	peptidyl-arginine modification	BP	1	1
GO:0035241	0.0916146956309564	1	1	1	protein-arginine omega-N monomethyltransferase activity	MF	1	1
GO:0035242	0.0916146956309564	1	1	1	protein-arginine omega-N asymmetric methyltransferase activity	MF	1	1
GO:0004791	0.0917528913169053	1	1	1	thioredoxin-disulfide reductase activity	MF	1	1
GO:0019430	0.0917528913169053	1	1	1	removal of superoxide radicals	BP	1	1
GO:0055114	0.0919150704435178	0.937609659696825	31	301	oxidation-reduction process	BP	1	1
GO:0016433	0.0922931635693359	1	1	1	rRNA (adenine) methyltransferase activity	MF	1	1
GO:0040010	0.0926204954163299	1	1	1	positive regulation of growth rate	BP	1	1
GO:0008097	0.0941327929871858	1	1	1	5S rRNA binding	MF	1	1
GO:0008176	0.0944094450768027	1	1	1	tRNA (guanine-N7-)-methyltransferase activity	MF	1	1
