category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p.adjust.over_represented	p.adjust.under_represented
GO:0003824	4.02337392697723e-06	0.999998381191996	47	319	catalytic activity	MF	0.00976875189470071	1
GO:0055085	1.47340220278653e-05	0.999993891560192	41	277	transmembrane transport	BP	0.0178871027418285	1
GO:0006526	3.34818710773816e-05	1	4	4	arginine biosynthetic process	BP	0.0270979943252941	1
GO:0000750	4.54089115731475e-05	0.999998793914964	5	7	pheromone-dependent signal transduction involved in conjugation with cellular fusion	BP	0.0275632093249005	1
GO:0030170	8.27791229591238e-05	0.999983814341295	12	44	pyridoxal phosphate binding	MF	0.0401975421089505	1
GO:0006623	0.000120899449510924	0.999995124893399	5	8	protein targeting to vacuole	BP	0.0489239772354206	1
GO:0043086	0.000467408235145336	1	3	3	negative regulation of catalytic activity	BP	0.131220124586059	1
GO:0005770	0.000477550163666998	1	3	3	late endosome	CC	0.131220124586059	1
GO:0016747	0.000499922992148988	0.999886716312508	11	45	transferase activity, transferring acyl groups other than amino-acyl groups	MF	0.131220124586059	1
GO:0022857	0.000540445323665811	0.999775079133958	26	172	transmembrane transporter activity	MF	0.131220124586059	1
GO:0016620	0.00120459195495715	0.999848636071215	6	17	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	MF	0.243810712660555	1
GO:0004553	0.00124485306205359	0.999765742103412	8	30	hydrolase activity, hydrolyzing O-glycosyl compounds	MF	0.243810712660555	1
GO:0070509	0.00138252542628384	0.999974067380644	3	4	calcium ion import	BP	0.243810712660555	1
GO:0008483	0.00140582783247437	0.999866807147445	5	12	transaminase activity	MF	0.243810712660555	1
GO:0042802	0.00155343186471422	0.999969613934515	3	4	identical protein binding	MF	0.244145724055818	1
GO:0015205	0.00170942228539906	0.999965388185327	3	4	nucleobase transmembrane transporter activity	MF	0.244145724055818	1
GO:0015851	0.00170942228539906	0.999965388185327	3	4	nucleobase transport	BP	0.244145724055818	1
GO:0016491	0.00352949547715388	0.998206786133002	30	234	oxidoreductase activity	MF	0.466142971515607	1
GO:0016021	0.0039778986048371	0.997765143960294	40	347	integral component of membrane	CC	0.466142971515607	1
GO:0006810	0.0040752897643003	0.998526759672053	14	87	transport	BP	0.466142971515607	1
GO:0009058	0.00410568944609653	0.998927101361502	9	42	biosynthetic process	BP	0.466142971515607	1
GO:0005262	0.00422370073037205	1	2	2	calcium channel activity	MF	0.466142971515607	1
GO:0016020	0.00507012464133628	0.997215828058397	35	298	membrane	CC	0.52365788612397	1
GO:0005216	0.00573472854365702	0.999688834729015	3	6	ion channel activity	MF	0.52365788612397	1
GO:0006768	0.00596666209908222	1	2	2	biotin metabolic process	BP	0.52365788612397	1
GO:0004414	0.00602403701309939	1	2	2	homoserine O-acetyltransferase activity	MF	0.52365788612397	1
GO:0003867	0.00603888830785467	1	2	2	4-aminobutyrate transaminase activity	MF	0.52365788612397	1
GO:0009448	0.00603888830785467	1	2	2	gamma-aminobutyric acid metabolic process	BP	0.52365788612397	1
GO:0055114	0.00768312893791518	0.995655293438257	35	301	oxidation-reduction process	BP	0.6236420423068	1
GO:0009073	0.00781830119226804	0.99952402909989	3	6	aromatic amino acid family biosynthetic process	BP	0.6236420423068	1
GO:0006284	0.00796248077080346	0.999511928309395	3	6	base-excision repair	BP	0.6236420423068	1
GO:0016757	0.00898260402442523	0.998492331150502	5	18	transferase activity, transferring glycosyl groups	MF	0.681555080353264	1
GO:0004252	0.0128023832721337	0.99822816603836	4	13	serine-type endopeptidase activity	MF	0.941945048022441	1
GO:0007165	0.0147226757148288	0.995153369142965	9	53	signal transduction	BP	1	1
GO:0042937	0.0159635721962407	0.999582931271748	2	3	tripeptide transmembrane transporter activity	MF	1	1
GO:0042939	0.0159635721962407	0.999582931271748	2	3	tripeptide transport	BP	1	1
GO:0003849	0.017161940358125	0.999533699335995	2	3	3-deoxy-7-phosphoheptulonate synthase activity	MF	1	1
GO:0005834	0.0173492879631805	0.999525824523014	2	3	heterotrimeric G-protein complex	CC	1	1
GO:0009102	0.0173633182163982	0.99952523286911	2	3	biotin biosynthetic process	BP	1	1
GO:0000753	0.0173679360574588	0.999525038077002	2	3	cell morphogenesis involved in conjugation with cellular fusion	BP	1	1
GO:0046872	0.0198203030411093	0.992631661603052	10	66	metal ion binding	MF	1	1
GO:0008152	0.0201321070051166	0.988979644287397	24	205	metabolic process	BP	1	1
GO:0000030	0.0264194930578585	0.993894578681018	5	23	mannosyltransferase activity	MF	1	1
GO:0006811	0.0275608247604123	0.99864341619414	2	4	ion transport	BP	1	1
GO:0006090	0.0301843277612268	0.998438101310268	2	4	pyruvate metabolic process	BP	1	1
GO:0009395	0.0301848697124312	0.998438057807295	2	4	phospholipid catabolic process	BP	1	1
GO:0045324	0.0304915724408622	0.99841336709495	2	4	late endosome to vacuole transport	BP	1	1
GO:0035268	0.0312921991360691	0.9983482450522	2	4	protein mannosylation	BP	1	1
GO:0046354	0.0312921991360691	0.9983482450522	2	4	mannan biosynthetic process	BP	1	1
GO:0006914	0.0334208069666609	0.995526907704776	3	10	autophagy	BP	1	1
