category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p.adjust.over_represented	p.adjust.under_represented
GO:0006364	6.54357162238885e-08	0.999999998005454	7	20	rRNA processing	BP	0.000103088268955717	1
GO:0005730	8.4916201775714e-08	0.999999998388025	6	13	nucleolus	CC	0.000103088268955717	1
GO:0042254	6.32784035510188e-07	0.999999982265768	6	14	ribosome biogenesis	BP	0.000512133212739579	1
GO:0003676	2.61471339319455e-06	0.999999489814437	16	240	nucleic acid binding	MF	0.00153019280110548	1
GO:0032040	3.15113838777899e-06	0.999999861060653	6	24	small-subunit processome	CC	0.00153019280110548	1
GO:0042273	0.000456088575884969	1	2	2	ribosomal large subunit biogenesis	BP	0.184563843708118	1
GO:0009231	0.000619303393890593	0.999985090588236	3	6	riboflavin biosynthetic process	BP	0.188070890675188	1
GO:0003723	0.00061967344538777	0.999887659429292	8	91	RNA binding	MF	0.188070890675188	1
GO:0035690	0.00119790264342484	0.999640503808989	13	268	cellular response to drug	BP	0.323167513137279	1
GO:0006400	0.00219992325120791	0.999979946631532	2	3	tRNA modification	BP	0.53414136539328	1
GO:0006383	0.0025170300753523	0.999975409075546	2	3	transcription by RNA polymerase III	BP	0.555577183905035	1
GO:0004386	0.00293910936483473	0.999687553572746	4	67	helicase activity	MF	0.557835742491764	1
GO:0003899	0.00298676468385212	0.99969888103315	4	27	DNA-directed 5'-3' RNA polymerase activity	MF	0.557835742491764	1
GO:0030515	0.00696116937900056	0.999812007359786	2	5	snoRNA binding	MF	1	1
GO:0000055	0.00897557612286133	1	1	1	ribosomal large subunit export from nucleus	BP	1	1
GO:0004451	0.0176021855393025	1	1	1	isocitrate lyase activity	MF	1	1
GO:0015295	0.0176556831792356	1	1	1	solute:proton symporter activity	MF	1	1
GO:0015793	0.0176556831792356	1	1	1	glycerol transport	BP	1	1
GO:0043132	0.0204816020027996	1	1	1	NAD transport	BP	1	1
GO:0003935	0.0288877641360699	1	1	1	GTP cyclohydrolase II activity	MF	1	1
GO:0018195	0.029163860726941	1	1	1	peptidyl-arginine modification	BP	1	1
GO:0035241	0.029163860726941	1	1	1	protein-arginine omega-N monomethyltransferase activity	MF	1	1
GO:0035242	0.029163860726941	1	1	1	protein-arginine omega-N asymmetric methyltransferase activity	MF	1	1
GO:0004791	0.0292545239344806	1	1	1	thioredoxin-disulfide reductase activity	MF	1	1
GO:0019430	0.0292545239344806	1	1	1	removal of superoxide radicals	BP	1	1
GO:0016433	0.0296100625659519	1	1	1	rRNA (adenine) methyltransferase activity	MF	1	1
GO:0000469	0.030641687990328	1	1	1	cleavage involved in rRNA processing	BP	1	1
GO:0008176	0.0310174797756987	1	1	1	tRNA (guanine-N7-)-methyltransferase activity	MF	1	1
GO:0016435	0.0317927099899046	1	1	1	rRNA (guanine) methyltransferase activity	MF	1	1
