category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p.adjust.over_represented	p.adjust.under_represented
GO:0005315	1.92145735199511e-06	1	2	2	inorganic phosphate transmembrane transporter activity	MF	0.00233264922532206	1
GO:0006817	1.92145735199511e-06	1	2	2	phosphate ion transport	BP	0.00233264922532206	1
GO:0046983	0.000177442547386084	0.99999927157612	2	14	protein dimerization activity	MF	0.143610168351138	1
GO:0038202	0.00152360628647262	1	1	1	TORC1 signaling	BP	0.538127077555349	1
GO:0016036	0.00155143720876748	1	1	1	cellular response to phosphate starvation	BP	0.538127077555349	1
GO:0030643	0.00155143720876748	1	1	1	cellular phosphate ion homeostasis	BP	0.538127077555349	1
GO:0071243	0.00155143720876748	1	1	1	cellular response to arsenic-containing substance	BP	0.538127077555349	1
GO:0010922	0.00269689197321735	0.999998482733318	1	2	positive regulation of phosphatase activity	BP	0.818506713871466	1
GO:0006875	0.00449037506085205	0.999994387352683	1	3	cellular metal ion homeostasis	BP	1	1
GO:0030287	0.00620025140395321	0.999987953171605	1	4	cell wall-bounded periplasmic space	CC	1	1
GO:0006796	0.00626318279972669	0.999987707006627	1	4	phosphate-containing compound metabolic process	BP	1	1
GO:0016787	0.00924520462851049	0.999684461023063	2	103	hydrolase activity	MF	1	1
GO:0071280	0.0250790680378336	0.999750827660731	1	17	cellular response to copper ion	BP	1	1
GO:0010811	0.0403729131916795	0.999334372476516	1	28	positive regulation of cell-substrate adhesion	BP	1	1
GO:1900189	0.0418832660438636	0.999282288874971	1	29	positive regulation of cell adhesion involved in single-species biofilm formation	BP	1	1
GO:0045944	0.0581445083752932	0.998593158188763	1	41	positive regulation of transcription by RNA polymerase II	BP	1	1
GO:0034599	0.0818738080129047	0.997163550715524	1	57	cellular response to oxidative stress	BP	1	1
GO:0006357	0.0912479244961008	0.99645541564405	1	65	regulation of transcription by RNA polymerase II	BP	1	1
GO:0030448	0.104908442164399	0.995277234614648	1	76	hyphal growth	BP	1	1
GO:0044011	0.128295446619309	0.992849104140449	1	93	single-species biofilm formation on inanimate substrate	BP	1	1
GO:0005576	0.136418497857044	0.991884637850225	1	95	extracellular region	CC	1	1
GO:0009986	0.159340307759405	0.988798699578268	1	113	cell surface	CC	1	1
GO:0044182	0.202500705837205	0.981514404114233	1	153	filamentous growth of a population of unicellular organisms	BP	1	1
GO:0005737	0.2159140705894	0.978851129531195	1	157	cytoplasm	CC	1	1
GO:0022857	0.235159818661532	0.974673965417478	1	172	transmembrane transporter activity	MF	1	1
GO:0009405	0.310308719571572	0.95419007954057	1	246	pathogenesis	BP	1	1
GO:0055085	0.34798921554381	0.9412441787319	1	277	transmembrane transport	BP	1	1
GO:0005634	0.351295771844316	0.940011203473691	1	289	nucleus	CC	1	1
GO:0016020	0.369908339480228	0.932823009297441	1	298	membrane	CC	1	1
GO:0016021	0.419090646085434	0.911384550750404	1	347	integral component of membrane	CC	1	1
GO:0030447	0.447354190195933	0.897359887073469	1	390	filamentous growth	BP	1	1
GO:0008152	0.999999999999999	0.729788857172532	0	205	metabolic process	BP	1	1
GO:0046873	0.999999999999999	0.983897742718428	0	11	metal ion transmembrane transporter activity	MF	1	1
