category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p.adjust.over_represented	p.adjust.under_represented
GO:0009986	1.57722810681052e-08	0.999999997508413	19	113	cell surface	CC	3.82950984333595e-05	1
GO:0030446	4.56926448187616e-08	0.999999995309295	13	53	hyphal cell wall	CC	5.54708708099766e-05	1
GO:0016491	1.02991431899476e-07	0.999999974500884	27	234	oxidoreductase activity	MF	8.33543988839761e-05	1
GO:0009277	1.50999102245753e-07	0.999999984473435	12	50	fungal-type cell wall	CC	9.16564550631718e-05	1
GO:0006096	8.85634873301823e-07	0.999999977012775	6	11	glycolytic process	BP	0.000430064294475366	1
GO:0055114	3.64024818788988e-05	0.999987497782625	26	301	oxidation-reduction process	BP	0.0147308710003277	1
GO:0055085	0.000108653857555037	0.999962342067372	23	277	transmembrane transport	BP	0.0376873665919472	1
GO:0005576	0.000172540626476614	0.999961001754196	12	95	extracellular region	CC	0.0523660801356522	1
GO:0006696	0.000784586606379949	0.999952451654276	4	12	ergosterol biosynthetic process	BP	0.211664031143391	1
GO:0010922	0.000954858834213555	1	2	2	positive regulation of phosphatase activity	BP	0.226641278399892	1
GO:0005315	0.00136201871915748	1	2	2	inorganic phosphate transmembrane transporter activity	MF	0.226641278399892	1
GO:0006817	0.00136201871915748	1	2	2	phosphate ion transport	BP	0.226641278399892	1
GO:0006071	0.0013727251712617	0.999951308852576	3	7	glycerol metabolic process	BP	0.226641278399892	1
GO:0000015	0.0014921663247473	1	2	2	phosphopyruvate hydratase complex	CC	0.226641278399892	1
GO:0004634	0.0014921663247473	1	2	2	phosphopyruvate hydratase activity	MF	0.226641278399892	1
GO:0032119	0.00149351748533702	1	2	2	sequestering of zinc ion	BP	0.226641278399892	1
GO:0044416	0.00169772895127068	0.999864888209949	4	15	induction by symbiont of host defense response	BP	0.242475640805012	1
GO:0030445	0.00224260539762222	0.999565614907064	7	49	yeast-form cell wall	CC	0.302502550301485	1
GO:0009331	0.00414744223122155	0.9999471516951	2	3	glycerol-3-phosphate dehydrogenase complex	CC	0.529999459863469	1
GO:0003824	0.00520294377851507	0.997628016123229	21	319	catalytic activity	MF	0.63163737471173	1
GO:0044409	0.00607989168928587	0.999564979371499	3	11	entry into host	BP	0.702951286742195	1
GO:0008152	0.00669174480932891	0.997302871722687	15	205	metabolic process	BP	0.735573107253767	1
GO:0005886	0.00738578156102169	0.996808537025676	17	244	plasma membrane	CC	0.735573107253767	1
GO:0005975	0.00756429142312237	0.997911891050229	8	80	carbohydrate metabolic process	BP	0.735573107253767	1
GO:0004371	0.00757385818836251	0.999814105775396	2	4	glycerone kinase activity	MF	0.735573107253767	1
GO:0006072	0.00788987740542776	0.99980215444356	2	4	glycerol-3-phosphate metabolic process	BP	0.736793166937639	1
GO:0030287	0.00831070598830944	0.999785839587927	2	4	cell wall-bounded periplasmic space	CC	0.738387528528846	1
GO:0051056	0.00851517742949246	0.999705135214154	2	7	regulation of small GTPase mediated signal transduction	BP	0.738387528528846	1
GO:0022857	0.0108353662252551	0.995687974671211	13	172	transmembrane transporter activity	MF	0.907181696376527	1
GO:0044011	0.0150255603519386	0.995286123314399	8	93	single-species biofilm formation on inanimate substrate	BP	1	1
GO:0005829	0.0169724228387652	0.995646327904243	6	56	cytosol	CC	1	1
GO:1903561	0.0179183820429792	0.995338859620956	6	58	extracellular vesicle	CC	1	1
GO:0016020	0.0197556661653964	0.990247693592887	18	298	membrane	CC	1	1
GO:0000287	0.0214028347266193	0.996086302722896	4	31	magnesium ion binding	MF	1	1
GO:0006099	0.0231160243367447	0.997050957130344	3	17	tricarboxylic acid cycle	BP	1	1
GO:0016021	0.0237917749197475	0.987569190663125	20	347	integral component of membrane	CC	1	1
GO:0008349	0.0263507222454634	1	1	1	MAP kinase kinase kinase kinase activity	MF	1	1
GO:0005085	0.0313295380238747	0.997602491258427	2	11	guanyl-nucleotide exchange factor activity	MF	1	1
GO:0000250	0.0333345780247624	1	1	1	lanosterol synthase activity	MF	1	1
GO:0005811	0.0333345780247624	1	1	1	lipid droplet	CC	1	1
GO:0016104	0.0333345780247624	1	1	1	triterpenoid biosynthetic process	BP	1	1
GO:0016866	0.0333345780247624	1	1	1	intramolecular transferase activity	MF	1	1
GO:0042300	0.0333345780247624	1	1	1	beta-amyrin synthase activity	MF	1	1
GO:0005078	0.034483196112852	1	1	1	MAP-kinase scaffold activity	MF	1	1
GO:0042928	0.0352457144824588	1	1	1	ferrichrome transport	BP	1	1
GO:0042929	0.0352457144824588	1	1	1	ferrichrome transmembrane transporter activity	MF	1	1
GO:0004368	0.0353202317833389	1	1	1	glycerol-3-phosphate dehydrogenase (quinone) activity	MF	1	1
GO:0038202	0.0372253417499899	1	1	1	TORC1 signaling	BP	1	1
GO:0004347	0.0374605346710068	1	1	1	glucose-6-phosphate isomerase activity	MF	1	1
