category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p.adjust.over_represented	p.adjust.under_represented
GO:0006526	8.30435529727664e-07	1	4	4	arginine biosynthetic process	BP	0.00201629746617877	1
GO:0055085	0.000448088067904315	0.999844527714378	19	277	transmembrane transport	BP	0.523411854115591	1
GO:0009073	0.000646719753849577	0.999984078862242	3	6	aromatic amino acid family biosynthetic process	BP	0.523411854115591	1
GO:0019829	0.00253633199281564	0.999860744074091	3	14	cation-transporting ATPase activity	MF	0.842217046983982	1
GO:0030170	0.00256811319306437	0.999566924598802	6	44	pyridoxal phosphate binding	MF	0.842217046983982	1
GO:0006810	0.00285668697268037	0.999331212028582	8	87	transport	BP	0.842217046983982	1
GO:0003849	0.00312437331226646	0.999965687337684	2	3	3-deoxy-7-phosphoheptulonate synthase activity	MF	0.842217046983982	1
GO:0016020	0.00334160804223272	0.998640912254324	18	298	membrane	CC	0.842217046983982	1
GO:0009102	0.00335579540283299	0.999961757779725	2	3	biotin biosynthetic process	BP	0.842217046983982	1
GO:0005770	0.00357236863550266	0.999957949260057	2	3	late endosome	CC	0.842217046983982	1
GO:0016021	0.00381564560000981	0.998353355364456	20	347	integral component of membrane	CC	0.842217046983982	1
GO:0019878	0.0086004101316502	0.999739206921563	2	5	lysine biosynthetic process via aminoadipic acid	BP	1	1
GO:0003824	0.00890242837485726	0.995995564251674	18	319	catalytic activity	MF	1	1
GO:0046872	0.010554670980541	0.997548718395035	6	66	metal ion binding	MF	1	1
GO:0022857	0.0151708138684098	0.994203921359138	11	172	transmembrane transporter activity	MF	1	1
GO:0004736	0.0202201963341813	1	1	1	pyruvate carboxylase activity	MF	1	1
GO:0009374	0.0202201963341813	1	1	1	biotin binding	MF	1	1
GO:0015673	0.0202201963396547	1	1	1	silver ion transport	BP	1	1
GO:0015691	0.0202201963396547	1	1	1	cadmium ion transport	BP	1	1
GO:0043682	0.0202201963396547	1	1	1	copper-transporting ATPase activity	MF	1	1
GO:0043547	0.0202201963573105	1	1	1	positive regulation of GTPase activity	BP	1	1
GO:0045722	0.0202357949018499	1	1	1	positive regulation of gluconeogenesis	BP	1	1
GO:0003991	0.0218949640605367	1	1	1	acetylglutamate kinase activity	MF	1	1
GO:0034775	0.023497240820291	1	1	1	glutathione transmembrane transport	BP	1	1
GO:0008152	0.0241580248552266	0.989667478611192	12	205	metabolic process	BP	1	1
GO:0006623	0.0245582161251969	0.998457186397438	2	8	protein targeting to vacuole	BP	1	1
GO:0015840	0.0250355698592296	1	1	1	urea transport	BP	1	1
GO:0006812	0.0268978314623634	0.996197860442372	3	27	cation transport	BP	1	1
GO:0008793	0.0303428857922281	1	1	1	aromatic-amino-acid:2-oxoglutarate aminotransferase activity	MF	1	1
GO:0019477	0.0303428857922281	1	1	1	L-lysine catabolic process	BP	1	1
GO:0004339	0.0310428424930854	1	1	1	glucan 1,4-alpha-glucosidase activity	MF	1	1
GO:0005976	0.0310428424930854	1	1	1	polysaccharide metabolic process	BP	1	1
GO:0051453	0.0314976926214095	1	1	1	regulation of intracellular pH	BP	1	1
GO:0004056	0.032872151948944	1	1	1	argininosuccinate lyase activity	MF	1	1
GO:0042450	0.032872151948944	1	1	1	arginine biosynthetic process via ornithine	BP	1	1
GO:0004015	0.0333727867112507	1	1	1	adenosylmethionine-8-amino-7-oxononanoate transaminase activity	MF	1	1
GO:0004055	0.0336449603078973	1	1	1	argininosuccinate synthase activity	MF	1	1
GO:0004358	0.0337370858932875	1	1	1	glutamate N-acetyltransferase activity	MF	1	1
GO:0004754	0.0341771917128818	1	1	1	saccharopine dehydrogenase (NAD+, L-lysine-forming) activity	MF	1	1
GO:0004048	0.0341869603697837	1	1	1	anthranilate phosphoribosyltransferase activity	MF	1	1
GO:0008474	0.0344641838564798	1	1	1	palmitoyl-(protein) hydrolase activity	MF	1	1
GO:0098599	0.0344641838564798	1	1	1	palmitoyl hydrolase activity	MF	1	1
GO:0019615	0.0345725834211429	1	1	1	catechol catabolic process, ortho-cleavage	BP	1	1
GO:0070847	0.0347381604780118	1	1	1	core mediator complex	CC	1	1
GO:0006990	0.0349063250267059	1	1	1	positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response	BP	1	1
GO:0004141	0.0349934235552898	1	1	1	dethiobiotin synthase activity	MF	1	1
GO:0004424	0.0350383038475891	1	1	1	imidazoleglycerol-phosphate dehydratase activity	MF	1	1
GO:0007038	0.0350442419629934	1	1	1	endocytosed protein transport to vacuole	BP	1	1
GO:0004075	0.0400348455030376	0.999594434942702	1	2	biotin carboxylase activity	MF	1	1
GO:0000148	0.0400348455342798	0.999594434942062	1	2	1,3-beta-D-glucan synthase complex	CC	1	1
GO:0003843	0.0400348455342798	0.999594434942062	1	2	1,3-beta-D-glucan synthase activity	MF	1	1
GO:0004555	0.0417310825967543	0.999558951160278	1	2	alpha,alpha-trehalase activity	MF	1	1
GO:0009058	0.0455337457271346	0.989276940379142	4	42	biosynthetic process	BP	1	1
GO:0030259	0.0545862801589562	0.999240277740584	1	2	lipid glycosylation	BP	1	1
GO:0003942	0.0553768815573169	0.999217786298499	1	2	N-acetyl-gamma-glutamyl-phosphate reductase activity	MF	1	1
GO:0015606	0.0557759043510739	0.999206306451738	1	2	spermidine transmembrane transporter activity	MF	1	1
GO:0070135	0.0567364689550605	0.999178317886246	1	2	beta-1,2-oligomannoside metabolic process	BP	1	1
GO:0008483	0.0579797243725833	0.993705320335941	2	12	transaminase activity	MF	1	1
GO:0036086	0.0608180611136645	0.999053807670319	1	2	positive regulation of transcription from RNA polymerase II promoter in response to iron ion starvation	BP	1	1
GO:0006768	0.0618014497464314	0.999022453677705	1	2	biotin metabolic process	BP	1	1
GO:0009074	0.062636107523213	0.998995427517183	1	2	aromatic amino acid family catabolic process	BP	1	1
GO:0047536	0.062636107523213	0.998995427517183	1	2	2-aminoadipate transaminase activity	MF	1	1
GO:0004414	0.0634205299723884	0.998969680779886	1	2	homoserine O-acetyltransferase activity	MF	1	1
GO:0006564	0.0674040643923931	0.99883372314349	1	2	L-serine biosynthetic process	BP	1	1
GO:0009712	0.067861937626368	0.998817536793616	1	2	catechol-containing compound metabolic process	BP	1	1
GO:0018576	0.067861937626368	0.998817536793616	1	2	catechol 1,2-dioxygenase activity	MF	1	1
GO:0019915	0.0679793345279356	0.998813368061087	1	2	lipid storage	BP	1	1
GO:0042819	0.0685405337090654	0.998793334989436	1	2	vitamin B6 biosynthetic process	BP	1	1
GO:0042823	0.0685405337090654	0.998793334989436	1	2	pyridoxal phosphate biosynthetic process	BP	1	1
GO:0006950	0.0686585096852767	0.991715047763336	2	13	response to stress	BP	1	1
GO:0005993	0.0691694638084035	0.998367462590988	1	3	trehalose catabolic process	BP	1	1
GO:0006075	0.0737450551642429	0.99814031476458	1	3	(1->3)-beta-D-glucan biosynthetic process	BP	1	1
GO:0030001	0.077035099680642	0.989845151263881	2	16	metal ion transport	BP	1	1
GO:0004100	0.0789028513428707	0.997604600822309	1	4	chitin synthase activity	MF	1	1
GO:0042937	0.0791038523626169	0.997854773107779	1	3	tripeptide transmembrane transporter activity	MF	1	1
GO:0042939	0.0791038523626169	0.997854773107779	1	3	tripeptide transport	BP	1	1
GO:0015848	0.0840589312880346	0.997571875614755	1	3	spermidine transport	BP	1	1
GO:0000165	0.0841789742501005	0.997564796002799	1	3	MAPK cascade	BP	1	1
GO:0006031	0.0843720533949729	0.997254323057728	1	4	chitin biosynthetic process	BP	1	1
GO:0008272	0.0847855063404439	0.997226834904788	1	4	sulfate transport	BP	1	1
GO:0015116	0.0847855063404439	0.997226834904788	1	4	sulfate transmembrane transporter activity	MF	1	1
GO:0016743	0.0866893267608318	0.997414286974017	1	3	carboxyl- or carbamoyltransferase activity	MF	1	1
GO:0017176	0.0932867964750365	0.996996251965837	1	3	phosphatidylinositol N-acetylglucosaminyltransferase activity	MF	1	1
GO:0019354	0.0935188392739303	0.996980953411324	1	3	siroheme biosynthetic process	BP	1	1
GO:0043115	0.0935188392739303	0.996980953411324	1	3	precorrin-2 dehydrogenase activity	MF	1	1
