category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	p.adjust.over_represented	p.adjust.under_represented
dhaM00125	0.000449591769235427	0.999994833343712	3	4	0.0741826419238454	1
dhaM00102	0.00115210163785156	0.999930205155091	4	12	0.095048385122754	1
dhaM00432	0.00703949087174684	0.999843636672866	2	4	0.387171997946076	1
dhaM00917	0.0106273664364322	0.999706667445488	2	4	0.438378865502827	1
dhaM00129	0.0187432395964007	0.999189907374369	2	5	0.618526906681224	1
dhaM00101	0.0331827997091189	0.997765364812794	2	7	0.91252699200077	1
dhaM00066	0.0406488130002784	1	1	1	0.958150592149418	1
dhaM00535	0.0467118322084969	1	1	1	0.963431539300248	1
dhaM00014	0.0735546599343311	0.991600010080237	2	10	1	1
dhaM00052	0.13310258239062	0.993995563262826	1	3	1	1
dhaM00135	0.182196441760215	0.986273489964698	1	5	1	1
dhaM00050	0.205252443434226	0.982383206958564	1	5	1	1
dhaM00126	0.226042105176167	0.977578712253508	1	6	1	1
dhaM00010	0.2312148025212	0.976481664443974	1	6	1	1
dhaM00051	0.240448990096807	0.973779113023458	1	7	1	1
dhaM00009	0.247235388912614	0.935749807071158	2	22	1	1
dhaM00846	0.258468157854359	0.969435809509777	1	7	1	1
dhaM00012	0.259469780554836	0.969183361785959	1	7	1	1
dhaM00053	0.26164094565629	0.96863211475203	1	7	1	1
dhaM00868	0.278220974744063	0.964238729599129	1	7	1	1
dhaM00121	0.300554538491204	0.957009218481453	1	8	1	1
dhaM00011	0.51712970138427	0.84827902669092	1	16	1	1
dhaM00001	1	0.524647198622758	0	15	1	1
dhaM00002	1	0.678594164341023	0	8	1	1
dhaM00003	1	0.615690783081453	0	10	1	1
dhaM00004	1	0.592229194510313	0	11	1	1
dhaM00005	1	0.825325070127836	0	4	1	1
dhaM00006	1	0.829841821492857	0	4	1	1
dhaM00007	1	0.744025977645001	0	6	1	1
dhaM00008	1	0.865496658401153	0	3	1	1
dhaM00013	1	0.787610675742851	0	7	1	1
dhaM00015	1	0.866975397134135	0	3	1	1
dhaM00016	1	0.915679698445682	0	2	1	1
dhaM00017	1	0.748727923080353	0	7	1	1
dhaM00018	1	0.796763431207877	0	5	1	1
dhaM00019	1	0.80831228298835	0	5	1	1
dhaM00020	1	0.867739348009201	0	3	1	1
dhaM00021	1	0.868335507169015	0	3	1	1
dhaM00022	1	0.789614317405927	0	5	1	1
dhaM00023	1	0.808789001423792	0	5	1	1
dhaM00024	1	0.86984964001194	0	3	1	1
dhaM00025	1	0.875021702441731	0	3	1	1
dhaM00026	1	0.73103323217592	0	7	1	1
dhaM00027	1	0.7815008148447	0	6	1	1
dhaM00028	1	0.860744769985554	0	4	1	1
dhaM00029	1	0.785569904518201	0	5	1	1
dhaM00030	1	0.710121066054562	0	9	1	1
dhaM00032	1	0.916974318825871	0	2	1	1
dhaM00033	1	0.915679698445682	0	2	1	1
dhaM00034	1	0.643732122179583	0	9	1	1
dhaM00035	1	0.874146067577575	0	3	1	1
dhaM00036	1	0.874524805645019	0	3	1	1
dhaM00038	1	0.788645931216173	0	5	1	1
dhaM00040	1	0.950187487542364	0	1	1	1
dhaM00044	1	0.922715154914105	0	2	1	1
dhaM00048	1	0.738743839245174	0	8	1	1
dhaM00049	1	0.708760869808123	0	7	1	1
dhaM00055	1	0.573531966310713	0	13	1	1
dhaM00065	1	0.544647060162229	0	14	1	1
dhaM00072	1	0.725796333172252	0	7	1	1
dhaM00073	1	0.92447332953478	0	3	1	1
dhaM00074	1	0.58792047475145	0	13	1	1
dhaM00079	1	0.963994230304254	0	1	1	1
dhaM00082	1	0.917071830281628	0	4	1	1
dhaM00083	1	0.884328039090685	0	4	1	1
dhaM00085	1	0.90870922262692	0	2	1	1
dhaM00086	1	0.851352138952074	0	6	1	1
dhaM00087	1	0.761240738336089	0	7	1	1
dhaM00088	1	0.912570841891954	0	2	1	1
dhaM00089	1	0.681612740995529	0	10	1	1
dhaM00090	1	0.920691015757167	0	2	1	1
dhaM00091	1	0.927520737669418	0	2	1	1
dhaM00092	1	0.873074354919512	0	3	1	1
dhaM00093	1	0.86031709713163	0	4	1	1
dhaM00094	1	0.764809838229752	0	6	1	1
dhaM00095	1	0.741906149766973	0	7	1	1
dhaM00096	1	0.949738941797331	0	1	1	1
dhaM00098	1	0.831039385319916	0	5	1	1
dhaM00099	1	0.764809838229752	0	6	1	1
dhaM00100	1	0.925944677452229	0	2	1	1
dhaM00113	1	0.796446229610226	0	6	1	1
dhaM00114	1	0.797533673017781	0	5	1	1
dhaM00115	1	0.880194845586772	0	3	1	1
dhaM00117	1	0.948800850906394	0	1	1	1
dhaM00118	1	0.933997431332514	0	2	1	1
dhaM00119	1	0.820510034284864	0	4	1	1
dhaM00120	1	0.766679104045869	0	6	1	1
dhaM00123	1	0.913091798589622	0	2	1	1
dhaM00124	1	0.859527044791165	0	3	1	1
dhaM00128	1	0.783208611048938	0	5	1	1
dhaM00130	1	0.892657621510957	0	5	1	1
dhaM00131	1	0.950543377290401	0	1	1	1
dhaM00132	1	0.952979612895372	0	1	1	1
dhaM00133	1	0.794875990016301	0	5	1	1
dhaM00134	1	0.909334911986051	0	2	1	1
dhaM00140	1	0.957680785377036	0	1	1	1
dhaM00141	1	0.920246194092257	0	3	1	1
dhaM00143	1	0.612482962517662	0	10	1	1
dhaM00146	1	0.615661494198312	0	9	1	1
dhaM00147	1	0.850197279689878	0	3	1	1
dhaM00148	1	0.754879266909522	0	6	1	1
dhaM00151	1	0.900484230619938	0	2	1	1
dhaM00152	1	0.623393487111751	0	9	1	1
dhaM00154	1	0.592894761815031	0	10	1	1
dhaM00158	1	0.452752884975865	0	15	1	1
dhaM00160	1	0.505146093895275	0	15	1	1
dhaM00165	1	0.678215401360798	0	8	1	1
dhaM00166	1	0.908337319230948	0	2	1	1
dhaM00167	1	0.747610004900296	0	6	1	1
dhaM00168	1	0.861147949755023	0	3	1	1
dhaM00170	1	0.799199720671201	0	5	1	1
dhaM00171	1	0.684487754975855	0	8	1	1
dhaM00173	1	0.801724251062612	0	6	1	1
dhaM00176	1	0.835204189350884	0	5	1	1
dhaM00307	1	0.834790807236117	0	4	1	1
dhaM00308	1	0.908337319230948	0	2	1	1
dhaM00338	1	0.914761746331634	0	2	1	1
dhaM00344	1	0.79497072207278	0	6	1	1
dhaM00345	1	0.915163327381541	0	3	1	1
dhaM00346	1	0.79826895176104	0	5	1	1
dhaM00357	1	0.940190637993582	0	2	1	1
dhaM00368	1	0.953332808424556	0	1	1	1
dhaM00373	1	0.954159447554352	0	1	1	1
dhaM00374	1	0.954159447554352	0	1	1	1
dhaM00375	1	0.954159447554352	0	1	1	1
dhaM00376	1	0.918086669879524	0	2	1	1
dhaM00377	1	0.935059878832406	0	2	1	1
dhaM00415	1	0.734818053719788	0	6	1	1
dhaM00433	1	0.823458756569614	0	5	1	1
dhaM00525	1	0.915679698445682	0	2	1	1
dhaM00526	1	0.915679698445682	0	2	1	1
dhaM00527	1	0.915679698445682	0	2	1	1
dhaM00531	1	0.981811994724547	0	1	1	1
dhaM00532	1	0.618592611493375	0	11	1	1
dhaM00546	1	0.828990609815145	0	4	1	1
dhaM00549	1	0.787839839011931	0	6	1	1
dhaM00552	1	0.908337319230948	0	2	1	1
dhaM00554	1	0.915117500856747	0	2	1	1
dhaM00565	1	0.971638563058121	0	1	1	1
