category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	p.adjust.over_represented	p.adjust.under_represented
dhaM00028	0.00321675894640622	0.999920735357023	3	4	0.288281134010221	1
dhaM00844	0.00349431677588147	0.999911214955275	3	4	0.288281134010221	1
dhaM00135	0.00788331168507165	0.999605360559898	3	5	0.321330514527591	1
dhaM00029	0.00812796464041948	0.99958837198203	3	5	0.321330514527591	1
dhaM00845	0.0097372883190179	1	2	2	0.321330514527591	1
dhaM00098	0.0748115301486796	0.992731026602777	2	5	1	1
dhaM00854	0.0765746616736099	0.99245768121249	2	5	1	1
dhaM00022	0.0797923308358818	0.991948726110606	2	5	1	1
dhaM00531	0.085227443196091	1	1	1	1	1
dhaM00079	0.0977982385512011	1	1	1	1	1
dhaM00568	0.0999220840446715	1	1	1	1	1
dhaM00027	0.11112201121524	0.985256765782054	2	6	1	1
dhaM00087	0.142683973020277	0.976859640078555	2	7	1	1
dhaM00017	0.144430345405848	0.976399441311776	2	7	1	1
dhaM00357	0.182074407692628	0.991038888319307	1	2	1	1
dhaM00044	0.187769315411135	0.990437249422517	1	2	1	1
dhaM00123	0.189530286212306	0.990246808431786	1	2	1	1
dhaM00577	0.189530286212306	0.990246808431786	1	2	1	1
dhaM00030	0.21052287108798	0.953787653594453	2	9	1	1
dhaM00025	0.269447494077931	0.972866502546636	1	3	1	1
dhaM00024	0.269729518584971	0.972805321453425	1	3	1	1
dhaM00036	0.27024478909022	0.972693335612175	1	3	1	1
dhaM00020	0.270774655274131	0.972577900475771	1	3	1	1
dhaM00124	0.271201700327226	0.972484660952958	1	3	1	1
dhaM00168	0.271256881444459	0.972472599562691	1	3	1	1
dhaM00855	0.316491440507904	0.95717574352085	1	4	1	1
dhaM00432	0.335887401203407	0.951239564922284	1	4	1	1
dhaM00546	0.3418162781308	0.949332989411754	1	4	1	1
dhaM00074	0.368803154403435	0.874937053945254	2	13	1	1
dhaM00872	0.386625415544975	0.929600897293545	1	5	1	1
dhaM00023	0.405775900769893	0.921593810303689	1	5	1	1
dhaM00038	0.409586931778063	0.919936291872806	1	5	1	1
dhaM00129	0.409860626447786	0.919816423190577	1	5	1	1
dhaM00086	0.446420461915194	0.899374350134558	1	6	1	1
dhaM00173	0.454922574561488	0.894975930517292	1	6	1	1
dhaM00113	0.460321913410482	0.892119837341269	1	6	1	1
dhaM00861	0.460321913410482	0.892119837341269	1	6	1	1
dhaM00126	0.463870538020032	0.890215794709516	1	6	1	1
dhaM00051	0.497595525803732	0.868037859544077	1	7	1	1
dhaM00053	0.513267298590443	0.85822200041093	1	7	1	1
dhaM00026	0.517224590319298	0.855668707699456	1	7	1	1
dhaM00012	0.517929258268316	0.855210837678059	1	7	1	1
dhaM00846	0.518141441518883	0.855072777173728	1	7	1	1
dhaM00868	0.521723015344611	0.852728991536381	1	7	1	1
dhaM00570	0.567483964388588	0.817600572040891	1	8	1	1
dhaM00121	0.567791050616431	0.817365918874	1	8	1	1
dhaM00171	0.571101915725668	0.814822538484275	1	8	1	1
dhaM00034	0.614264210915343	0.776745316795931	1	9	1	1
dhaM00089	0.638905209584738	0.751989554133234	1	10	1	1
dhaM00014	0.65323133831827	0.738018717557448	1	10	1	1
dhaM00532	0.683329972065767	0.704693794398229	1	11	1	1
dhaM00055	0.745471370288691	0.626631816691765	1	13	1	1
dhaM00065	0.766930425153304	0.595846154909522	1	14	1	1
dhaM00011	0.814725614333632	0.520117427183978	1	16	1	1
dhaM00009	0.903009557940432	0.341296154750259	1	22	1	1
dhaM00167	0.999999999999998	0.532659366814573	0	6	1	1
dhaM00154	1	0.345961492105465	0	10	1	1
dhaM00001	1	0.208417639746444	0	15	1	1
dhaM00002	1	0.428977803489244	0	8	1	1
dhaM00003	1	0.346535921281463	0	10	1	1
dhaM00004	1	0.313066914817854	0	11	1	1
dhaM00005	1	0.655904496679185	0	4	1	1
dhaM00006	1	0.656701914448246	0	4	1	1
dhaM00007	1	0.532623107910297	0	6	1	1
dhaM00008	1	0.729425342811197	0	3	1	1
dhaM00010	1	0.534701482430531	0	6	1	1
dhaM00013	1	0.491841429489063	0	7	1	1
dhaM00015	1	0.729188888658126	0	3	1	1
dhaM00016	1	0.811211502083846	0	2	1	1
dhaM00018	1	0.591152720850881	0	5	1	1
dhaM00019	1	0.594116241942372	0	5	1	1
dhaM00021	1	0.729119086096526	0	3	1	1
dhaM00032	1	0.811005049568965	0	2	1	1
dhaM00033	1	0.811211502083846	0	2	1	1
dhaM00035	1	0.729726017832692	0	3	1	1
dhaM00040	1	0.900071281721215	0	1	1	1
dhaM00048	1	0.444359987622159	0	8	1	1
dhaM00049	1	0.477365955479478	0	7	1	1
dhaM00050	1	0.591616956732578	0	5	1	1
dhaM00052	1	0.730361384557607	0	3	1	1
dhaM00066	1	0.900940660437216	0	1	1	1
dhaM00072	1	0.480428936856184	0	7	1	1
dhaM00073	1	0.748156214086445	0	3	1	1
dhaM00082	1	0.723537552095959	0	4	1	1
dhaM00083	1	0.698536131937175	0	4	1	1
dhaM00085	1	0.810122161752808	0	2	1	1
dhaM00088	1	0.810444803652372	0	2	1	1
dhaM00090	1	0.811855079681514	0	2	1	1
dhaM00091	1	0.818757258896918	0	2	1	1
dhaM00092	1	0.729754354772693	0	3	1	1
dhaM00093	1	0.669267531354809	0	4	1	1
dhaM00094	1	0.532503784124627	0	6	1	1
dhaM00095	1	0.484560303103913	0	7	1	1
dhaM00096	1	0.900070021848281	0	1	1	1
dhaM00099	1	0.532503784124627	0	6	1	1
dhaM00100	1	0.813022346727492	0	2	1	1
dhaM00101	1	0.480408074999602	0	7	1	1
dhaM00102	1	0.281573630651323	0	12	1	1
dhaM00114	1	0.59142648257855	0	5	1	1
dhaM00115	1	0.733265569395933	0	3	1	1
dhaM00117	1	0.900069910578923	0	1	1	1
dhaM00118	1	0.816771408666748	0	2	1	1
dhaM00119	1	0.655585072644244	0	4	1	1
dhaM00120	1	0.53364871894148	0	6	1	1
dhaM00125	1	0.655463150498383	0	4	1	1
dhaM00128	1	0.590041026136069	0	5	1	1
dhaM00130	1	0.630666782255563	0	5	1	1
dhaM00131	1	0.900073830095198	0	1	1	1
dhaM00132	1	0.900146540382607	0	1	1	1
dhaM00133	1	0.590572658407872	0	5	1	1
dhaM00134	1	0.810323993615225	0	2	1	1
dhaM00140	1	0.900636839408222	0	1	1	1
dhaM00141	1	0.748708787991053	0	3	1	1
dhaM00143	1	0.348289499792123	0	10	1	1
dhaM00146	1	0.384676139432109	0	9	1	1
dhaM00147	1	0.728693255982482	0	3	1	1
dhaM00148	1	0.533988203237555	0	6	1	1
dhaM00151	1	0.809949827900629	0	2	1	1
dhaM00152	1	0.384835217449854	0	9	1	1
dhaM00158	1	0.201947155544595	0	15	1	1
dhaM00160	1	0.20932868283684	0	15	1	1
dhaM00165	1	0.430409313374651	0	8	1	1
dhaM00166	1	0.810158033010138	0	2	1	1
dhaM00170	1	0.591075060028208	0	5	1	1
dhaM00176	1	0.614191597818146	0	5	1	1
dhaM00307	1	0.656615895940312	0	4	1	1
dhaM00308	1	0.810158033010138	0	2	1	1
dhaM00338	1	0.810779212286617	0	2	1	1
dhaM00344	1	0.539055560649524	0	6	1	1
dhaM00345	1	0.748348009197727	0	3	1	1
dhaM00346	1	0.590660951444547	0	5	1	1
dhaM00368	1	0.900166405843759	0	1	1	1
dhaM00373	1	0.900223041335767	0	1	1	1
dhaM00374	1	0.900223041335767	0	1	1	1
dhaM00375	1	0.900223041335767	0	1	1	1
dhaM00376	1	0.811142342416813	0	2	1	1
dhaM00377	1	0.815840699538723	0	2	1	1
dhaM00415	1	0.529981340659016	0	6	1	1
dhaM00433	1	0.59824145216378	0	5	1	1
dhaM00525	1	0.811211502083846	0	2	1	1
dhaM00526	1	0.811211502083846	0	2	1	1
dhaM00527	1	0.811211502083846	0	2	1	1
dhaM00535	1	0.900163754249143	0	1	1	1
dhaM00549	1	0.535126432653174	0	6	1	1
dhaM00552	1	0.810158033010138	0	2	1	1
dhaM00554	1	0.811045733552103	0	2	1	1
dhaM00565	1	0.905456119528866	0	1	1	1
dhaM00572	1	0.810242860357232	0	2	1	1
dhaM00573	1	0.900333309910815	0	1	1	1
dhaM00580	1	0.900069911964436	0	1	1	1
dhaM00596	1	0.901337402623252	0	1	1	1
dhaM00609	1	0.900166405843759	0	1	1	1
dhaM00632	1	0.660198658424508	0	4	1	1
dhaM00740	1	0.661227459736838	0	4	1	1
dhaM00793	1	0.900120410466784	0	1	1	1
dhaM00840	1	0.900069884015512	0	1	1	1
dhaM00841	1	0.900069915328523	0	1	1	1
dhaM00842	1	0.900069915328523	0	1	1	1
dhaM00843	1	0.900069915328523	0	1	1	1
dhaM00849	1	0.598959085072982	0	5	1	1
dhaM00873	1	0.53026566200844	0	6	1	1
dhaM00874	1	0.398938808261026	0	9	1	1
dhaM00892	1	0.433609418219055	0	8	1	1
dhaM00910	1	0.900071281721215	0	1	1	1
dhaM00917	1	0.65668852850266	0	4	1	1
