category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	p.adjust.over_represented	p.adjust.under_represented
dhaM00125	4.57065261612123e-06	0.999999993821741	3	4	0.000754157681660003	0.999999993821741
dhaM00012	0.0633130901873866	0.998587035681516	1	7	1	0.999999993821741
dhaM00570	0.074044953297988	0.998018037673502	1	8	1	0.999999993821741
dhaM00034	1	0.899760695464211	0	9	1	0.999999993821741
dhaM00001	1	0.868290402455596	0	15	1	0.999999993821741
dhaM00002	1	0.912193883899066	0	8	1	0.999999993821741
dhaM00003	1	0.891411828566959	0	10	1	0.999999993821741
dhaM00004	1	0.883456431882157	0	11	1	0.999999993821741
dhaM00005	1	0.955914543916798	0	4	1	0.999999993821741
dhaM00006	1	0.958000203233327	0	4	1	0.999999993821741
dhaM00007	1	0.929608014296508	0	6	1	0.999999993821741
dhaM00008	1	0.966285465914671	0	3	1	0.999999993821741
dhaM00009	1	0.79721722402165	0	22	1	0.999999993821741
dhaM00010	1	0.943397728343721	0	6	1	0.999999993821741
dhaM00011	1	0.846726257779881	0	16	1	0.999999993821741
dhaM00013	1	0.958035152755077	0	7	1	0.999999993821741
dhaM00014	1	0.893942872832856	0	10	1	0.999999993821741
dhaM00015	1	0.967240958769687	0	3	1	0.999999993821741
dhaM00016	1	0.980980884244782	0	2	1	0.999999993821741
dhaM00017	1	0.941321472264689	0	7	1	0.999999993821741
dhaM00018	1	0.950429289783329	0	5	1	0.999999993821741
dhaM00019	1	0.955199426239916	0	5	1	0.999999993821741
dhaM00020	1	0.967642707612228	0	3	1	0.999999993821741
dhaM00021	1	0.968033924703071	0	3	1	0.999999993821741
dhaM00022	1	0.946272850868994	0	5	1	0.999999993821741
dhaM00023	1	0.955426440633158	0	5	1	0.999999993821741
dhaM00024	1	0.968206438563109	0	3	1	0.999999993821741
dhaM00025	1	0.970895233464422	0	3	1	0.999999993821741
dhaM00026	1	0.930395880034195	0	7	1	0.999999993821741
dhaM00027	1	0.951703708104659	0	6	1	0.999999993821741
dhaM00028	1	0.97118834649947	0	4	1	0.999999993821741
dhaM00029	1	0.944622678031963	0	5	1	0.999999993821741
dhaM00030	1	0.933213871700325	0	9	1	0.999999993821741
dhaM00032	1	0.981777329551364	0	2	1	0.999999993821741
dhaM00033	1	0.980980884244782	0	2	1	0.999999993821741
dhaM00035	1	0.970890607974059	0	3	1	0.999999993821741
dhaM00036	1	0.971082345522018	0	3	1	0.999999993821741
dhaM00038	1	0.946127893715433	0	5	1	0.999999993821741
dhaM00040	1	0.987306206750117	0	1	1	0.999999993821741
dhaM00044	1	0.984174959493941	0	2	1	0.999999993821741
dhaM00048	1	0.940507248804322	0	8	1	0.999999993821741
dhaM00049	1	0.920246754231454	0	7	1	0.999999993821741
dhaM00050	1	0.948911610938918	0	5	1	0.999999993821741
dhaM00051	1	0.940493390110481	0	7	1	0.999999993821741
dhaM00052	1	0.966522578790483	0	3	1	0.999999993821741
dhaM00053	1	0.932197071821135	0	7	1	0.999999993821741
dhaM00055	1	0.888831479083608	0	13	1	0.999999993821741
dhaM00065	1	0.872318393828128	0	14	1	0.999999993821741
dhaM00066	1	0.991602035848894	0	1	1	0.999999993821741
dhaM00072	1	0.92871236563168	0	7	1	0.999999993821741
dhaM00073	1	0.989086538170592	0	3	1	0.999999993821741
dhaM00074	1	0.895680024781013	0	13	1	0.999999993821741
dhaM00079	1	0.993376226573507	0	1	1	0.999999993821741
dhaM00082	1	0.985180048611216	0	4	1	0.999999993821741
dhaM00083	1	0.975027538211428	0	4	1	0.999999993821741
dhaM00085	1	0.97784056680963	0	2	1	0.999999993821741
dhaM00086	1	0.97822513748036	0	6	1	0.999999993821741
dhaM00087	1	0.946820362923616	0	7	1	0.999999993821741
dhaM00088	1	0.979730277678831	0	2	1	0.999999993821741
dhaM00089	1	0.923104248607885	0	10	1	0.999999993821741
dhaM00090	1	0.983301026101181	0	2	1	0.999999993821741
dhaM00091	1	0.98384827258271	0	2	1	0.999999993821741
dhaM00092	1	0.970283537304444	0	3	1	0.999999993821741
dhaM00093	1	0.969500699055636	0	4	1	0.999999993821741
dhaM00094	1	0.942460430826398	0	6	1	0.999999993821741
dhaM00095	1	0.936700899783071	0	7	1	0.999999993821741
dhaM00096	1	0.98707551070323	0	1	1	0.999999993821741
dhaM00098	1	0.963790678304535	0	5	1	0.999999993821741
dhaM00099	1	0.942460430826398	0	6	1	0.999999993821741
dhaM00100	1	0.985466933362845	0	2	1	0.999999993821741
dhaM00101	1	0.93221636640587	0	7	1	0.999999993821741
dhaM00102	1	0.88214098247927	0	12	1	0.999999993821741
dhaM00113	1	0.956227033569839	0	6	1	0.999999993821741
dhaM00114	1	0.950693580538733	0	5	1	0.999999993821741
dhaM00115	1	0.972255379334244	0	3	1	0.999999993821741
dhaM00117	1	0.986591651449413	0	1	1	0.999999993821741
dhaM00118	1	0.987899232217169	0	2	1	0.999999993821741
dhaM00119	1	0.95334444822547	0	4	1	0.999999993821741
dhaM00120	1	0.942728542687796	0	6	1	0.999999993821741
dhaM00121	1	0.923072621134914	0	8	1	0.999999993821741
dhaM00123	1	0.979994597304582	0	2	1	0.999999993821741
dhaM00124	1	0.963332335066309	0	3	1	0.999999993821741
dhaM00126	1	0.94547531032854	0	6	1	0.999999993821741
dhaM00128	1	0.943142940278315	0	5	1	0.999999993821741
dhaM00129	1	0.946295540360425	0	5	1	0.999999993821741
dhaM00130	1	0.985879429031301	0	5	1	0.999999993821741
dhaM00131	1	0.987488467543437	0	1	1	0.999999993821741
dhaM00132	1	0.988708704077872	0	1	1	0.999999993821741
dhaM00133	1	0.949717424923142	0	5	1	0.999999993821741
dhaM00134	1	0.978068545927125	0	2	1	0.999999993821741
dhaM00135	1	0.961168485892855	0	5	1	0.999999993821741
dhaM00140	1	0.990890609617151	0	1	1	0.999999993821741
dhaM00141	1	0.9870121655691	0	3	1	0.999999993821741
dhaM00143	1	0.88723296712715	0	10	1	0.999999993821741
dhaM00146	1	0.881088776021662	0	9	1	0.999999993821741
dhaM00147	1	0.95818654915432	0	3	1	0.999999993821741
dhaM00148	1	0.935261440554019	0	6	1	0.999999993821741
dhaM00151	1	0.973528078555817	0	2	1	0.999999993821741
