category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	p.adjust.over_represented	p.adjust.under_represented
dhaM00079	0.0101295468113255	1	1	1	1	1
dhaM00855	0.029908940208332	0.999716862519294	1	4	1	1
dhaM00135	0.0516302835847315	0.999091099528457	1	5	1	1
dhaM00113	0.0573107112275652	0.998831105518247	1	6	1	1
dhaM00861	0.0573107112275652	0.998831105518247	1	6	1	1
dhaM00126	0.065895042086319	0.998448396774227	1	6	1	1
dhaM00087	0.0676030259706813	0.998319978616898	1	7	1	1
dhaM00846	0.0742885907352776	0.997964891235059	1	7	1	1
dhaM00101	0.999999999999999	0.926123404503921	0	7	1	1
dhaM00009	0.999999999999999	0.772384826300366	0	22	1	1
dhaM00001	1	0.848947538040685	0	15	1	1
dhaM00002	1	0.907808839054893	0	8	1	1
dhaM00003	1	0.887113491521644	0	10	1	1
dhaM00004	1	0.86745072386908	0	11	1	1
dhaM00005	1	0.955330260196805	0	4	1	1
dhaM00006	1	0.954311470038613	0	4	1	1
dhaM00007	1	0.919311052803623	0	6	1	1
dhaM00008	1	0.96465469475105	0	3	1	1
dhaM00010	1	0.938440490967723	0	6	1	1
dhaM00011	1	0.824769603442165	0	16	1	1
dhaM00012	1	0.927940352397238	0	7	1	1
dhaM00013	1	0.936987901911108	0	7	1	1
dhaM00014	1	0.893101155725754	0	10	1	1
dhaM00015	1	0.965836300761811	0	3	1	1
dhaM00016	1	0.978373158724263	0	2	1	1
dhaM00017	1	0.929444993787939	0	7	1	1
dhaM00018	1	0.946048122163429	0	5	1	1
dhaM00019	1	0.947788963556363	0	5	1	1
dhaM00020	1	0.966566682905218	0	3	1	1
dhaM00021	1	0.967193841004036	0	3	1	1
dhaM00022	1	0.939499745101317	0	5	1	1
dhaM00023	1	0.946669997469098	0	5	1	1
dhaM00024	1	0.965932640936192	0	3	1	1
dhaM00025	1	0.967081400032273	0	3	1	1
dhaM00026	1	0.923289218561379	0	7	1	1
dhaM00027	1	0.93794757684688	0	6	1	1
dhaM00028	1	0.96181776409327	0	4	1	1
dhaM00029	1	0.944182585723796	0	5	1	1
dhaM00030	1	0.917096709946856	0	9	1	1
dhaM00032	1	0.978623211175192	0	2	1	1
dhaM00033	1	0.978373158724263	0	2	1	1
dhaM00034	1	0.894191850818161	0	9	1	1
dhaM00035	1	0.967730577702864	0	3	1	1
dhaM00036	1	0.967798058809557	0	3	1	1
dhaM00038	1	0.939740672802315	0	5	1	1
dhaM00040	1	0.98781518928706	0	1	1	1
dhaM00044	1	0.979144418708578	0	2	1	1
dhaM00048	1	0.92232614602428	0	8	1	1
dhaM00049	1	0.910311188355301	0	7	1	1
dhaM00050	1	0.935929984051076	0	5	1	1
dhaM00051	1	0.933407770719731	0	7	1	1
dhaM00052	1	0.959950924765272	0	3	1	1
dhaM00053	1	0.916758771486618	0	7	1	1
dhaM00055	1	0.863558060442101	0	13	1	1
dhaM00065	1	0.84700074139968	0	14	1	1
dhaM00066	1	0.989359098174216	0	1	1	1
dhaM00072	1	0.920362465681058	0	7	1	1
dhaM00073	1	0.977468707051794	0	3	1	1
dhaM00074	1	0.874031541419761	0	13	1	1
dhaM00082	1	0.980439299511537	0	4	1	1
dhaM00083	1	0.970459780343418	0	4	1	1
dhaM00085	1	0.977895873787564	0	2	1	1
dhaM00086	1	0.95317634296704	0	6	1	1
dhaM00088	1	0.978318316092434	0	2	1	1
dhaM00089	1	0.90592289133122	0	10	1	1
dhaM00090	1	0.978976350365648	0	2	1	1
dhaM00091	1	0.978412627072139	0	2	1	1
dhaM00092	1	0.967615472538777	0	3	1	1
dhaM00093	1	0.961688349556252	0	4	1	1
dhaM00094	1	0.936160182679975	0	6	1	1
dhaM00095	1	0.929409609975431	0	7	1	1
dhaM00096	1	0.987479247438931	0	1	1	1
dhaM00098	1	0.952795820013259	0	5	1	1
dhaM00099	1	0.936160182679975	0	6	1	1
dhaM00100	1	0.979504381665142	0	2	1	1
dhaM00102	1	0.872198738139871	0	12	1	1
dhaM00114	1	0.944518753436317	0	5	1	1
dhaM00115	1	0.968569407437192	0	3	1	1
dhaM00117	1	0.986385683568234	0	1	1	1
dhaM00118	1	0.981612602642789	0	2	1	1
dhaM00119	1	0.954559944322776	0	4	1	1
dhaM00120	1	0.934046772230684	0	6	1	1
dhaM00121	1	0.914954517430556	0	8	1	1
dhaM00123	1	0.978391241993218	0	2	1	1
dhaM00124	1	0.963150015440345	0	3	1	1
dhaM00125	1	0.943156283288341	0	4	1	1
dhaM00128	1	0.941856738600114	0	5	1	1
dhaM00129	1	0.945275651308689	0	5	1	1
dhaM00130	1	0.967768142879813	0	5	1	1
dhaM00131	1	0.988030077779911	0	1	1	1
dhaM00132	1	0.98883947552164	0	1	1	1
dhaM00133	1	0.945574818180606	0	5	1	1
dhaM00134	1	0.977418782327204	0	2	1	1
dhaM00140	1	0.98926604134972	0	1	1	1
dhaM00141	1	0.977574678811691	0	3	1	1
dhaM00143	1	0.8659944646618	0	10	1	1
dhaM00146	1	0.846786249716411	0	9	1	1
dhaM00147	1	0.943711756433422	0	3	1	1
dhaM00148	1	0.91970687142993	0	6	1	1
dhaM00151	1	0.972794519444444	0	2	1	1
dhaM00152	1	0.857169574177493	0	9	1	1
dhaM00154	1	0.838487796251637	0	10	1	1
dhaM00158	1	0.758563773882019	0	15	1	1
dhaM00160	1	0.814469106822568	0	15	1	1
dhaM00165	1	0.901334520649984	0	8	1	1
dhaM00166	1	0.977596973089637	0	2	1	1
dhaM00167	1	0.922273939460755	0	6	1	1
dhaM00168	1	0.965681541560598	0	3	1	1
dhaM00170	1	0.94692815434329	0	5	1	1
dhaM00171	1	0.913834743195748	0	8	1	1
dhaM00173	1	0.945230839089243	0	6	1	1
dhaM00176	1	0.951961507461526	0	5	1	1
dhaM00307	1	0.95709570358076	0	4	1	1
dhaM00308	1	0.977596973089637	0	2	1	1
