category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	p.adjust.over_represented	p.adjust.under_represented
dhaM00002	0.000836230740325595	0.999977400269675	3	8	0.137978072153723	0.999977400269675
dhaM00003	0.00172232760092027	0.999934929752468	3	10	0.142092027075922	0.999977400269675
dhaM00001	0.0046039107180698	0.99972902139897	3	15	0.253215089493839	0.999977400269675
dhaM00346	0.00649240955849799	0.999848167371306	2	5	0.267811894288042	0.999977400269675
dhaM00009	0.0153451472283395	0.998516952405324	3	22	0.506389858535204	0.999977400269675
dhaM00166	0.0544361353046197	0.999296746982348	1	2	1	0.999977400269675
dhaM00308	0.0544361353046197	0.999296746982348	1	2	1	0.999977400269675
dhaM00552	0.0544361353046197	0.999296746982348	1	2	1	0.999977400269675
dhaM00011	0.059778500980229	0.993853424545004	2	16	1	0.999977400269675
dhaM00740	0.0944305477941079	0.996781016320725	1	4	1	0.999977400269675
dhaM00917	0.104072128856151	0.996071846112712	1	4	1	0.999977400269675
dhaM00307	0.104248848893141	0.996058156049814	1	4	1	0.999977400269675
dhaM00135	0.122034519880469	0.994201414918547	1	5	1	0.999977400269675
dhaM00129	0.130165830868468	0.993377460103502	1	5	1	0.999977400269675
dhaM00113	0.130758591995832	0.99304815227409	1	6	1	0.999977400269675
dhaM00861	0.130758591995832	0.99304815227409	1	6	1	0.999977400269675
dhaM00126	0.140841389088629	0.991896868663513	1	6	1	0.999977400269675
dhaM00010	0.144291487271078	0.991481307563729	1	6	1	0.999977400269675
dhaM00087	0.154594832543556	0.989907487443496	1	7	1	0.999977400269675
dhaM00012	0.164213884106522	0.988561632174989	1	7	1	0.999977400269675
dhaM00165	0.196579960228441	0.983033103249558	1	8	1	0.999977400269675
dhaM00014	0.242965764840706	0.972807699619641	1	10	1	0.999977400269675
dhaM00532	0.249409895068585	0.970993725629831	1	11	1	0.999977400269675
dhaM00102	0.277453196172437	0.963343397948617	1	12	1	0.999977400269675
dhaM00095	0.999999999999998	0.837323714510753	0	7	1	0.999977400269675
dhaM00072	0.999999999999999	0.830982860871004	0	7	1	0.999977400269675
dhaM00154	1	0.751469787400394	0	10	1	0.999977400269675
dhaM00004	1	0.741221299571046	0	11	1	0.999977400269675
dhaM00005	1	0.894131237498926	0	4	1	0.999977400269675
dhaM00006	1	0.895871656520502	0	4	1	0.999977400269675
dhaM00007	1	0.85005948992062	0	6	1	0.999977400269675
dhaM00008	1	0.920250284634083	0	3	1	0.999977400269675
dhaM00013	1	0.861697872685513	0	7	1	0.999977400269675
dhaM00015	1	0.91978152782304	0	3	1	0.999977400269675
dhaM00016	1	0.947616751665707	0	2	1	0.999977400269675
dhaM00017	1	0.837493778355478	0	7	1	0.999977400269675
dhaM00018	1	0.872321161059465	0	5	1	0.999977400269675
dhaM00019	1	0.879593791571325	0	5	1	0.999977400269675
dhaM00020	1	0.919893112386594	0	3	1	0.999977400269675
dhaM00021	1	0.91968958259086	0	3	1	0.999977400269675
dhaM00022	1	0.871743247724916	0	5	1	0.999977400269675
dhaM00023	1	0.87968026487768	0	5	1	0.999977400269675
dhaM00024	1	0.922096971083985	0	3	1	0.999977400269675
dhaM00025	1	0.92269514288142	0	3	1	0.999977400269675
dhaM00026	1	0.836457268233741	0	7	1	0.999977400269675
dhaM00027	1	0.853553684357617	0	6	1	0.999977400269675
dhaM00028	1	0.911249888339449	0	4	1	0.999977400269675
dhaM00029	1	0.869319407879773	0	5	1	0.999977400269675
dhaM00030	1	0.811795114843544	0	9	1	0.999977400269675
dhaM00032	1	0.947193275561675	0	2	1	0.999977400269675
dhaM00033	1	0.947616751665707	0	2	1	0.999977400269675
dhaM00034	1	0.777693773509601	0	9	1	0.999977400269675
dhaM00035	1	0.920947782354986	0	3	1	0.999977400269675
dhaM00036	1	0.92100919819337	0	3	1	0.999977400269675
dhaM00038	1	0.870199425755528	0	5	1	0.999977400269675
dhaM00040	1	0.972206346944773	0	1	1	0.999977400269675
dhaM00044	1	0.949604144546006	0	2	1	0.999977400269675
dhaM00048	1	0.832388359664422	0	8	1	0.999977400269675
dhaM00049	1	0.822236428833663	0	7	1	0.999977400269675
dhaM00050	1	0.872932842511736	0	5	1	0.999977400269675
dhaM00051	1	0.854003233064898	0	7	1	0.999977400269675
dhaM00052	1	0.921972531391984	0	3	1	0.999977400269675
dhaM00053	1	0.845378295664269	0	7	1	0.999977400269675
dhaM00055	1	0.710353869653303	0	13	1	0.999977400269675
dhaM00065	1	0.703920147489593	0	14	1	0.999977400269675
dhaM00066	1	0.973777734798742	0	1	1	0.999977400269675
dhaM00073	1	0.952791594704739	0	3	1	0.999977400269675
dhaM00074	1	0.722493152072727	0	13	1	0.999977400269675
dhaM00079	1	0.976085704747318	0	1	1	0.999977400269675
dhaM00082	1	0.950714418679721	0	4	1	0.999977400269675
dhaM00083	1	0.931072311668557	0	4	1	0.999977400269675
dhaM00085	1	0.945503875118323	0	2	1	0.999977400269675
dhaM00086	1	0.904248949903089	0	6	1	0.999977400269675
dhaM00088	1	0.946116577798138	0	2	1	0.999977400269675
dhaM00089	1	0.801185822305748	0	10	1	0.999977400269675
dhaM00090	1	0.948870202604781	0	2	1	0.999977400269675
dhaM00091	1	0.959765220816324	0	2	1	0.999977400269675
dhaM00092	1	0.921021056953013	0	3	1	0.999977400269675
dhaM00093	1	0.914389262872748	0	4	1	0.999977400269675
dhaM00094	1	0.85054578843258	0	6	1	0.999977400269675
dhaM00096	1	0.972189999969945	0	1	1	0.999977400269675
dhaM00098	1	0.894687837272566	0	5	1	0.999977400269675
dhaM00099	1	0.85054578843258	0	6	1	0.999977400269675
dhaM00100	1	0.951159514332349	0	2	1	0.999977400269675
dhaM00101	1	0.831340275583923	0	7	1	0.999977400269675
dhaM00114	1	0.872914346768802	0	5	1	0.999977400269675
dhaM00115	1	0.928193868329279	0	3	1	0.999977400269675
dhaM00117	1	0.972135468708215	0	1	1	0.999977400269675
dhaM00118	1	0.957875694967932	0	2	1	0.999977400269675
dhaM00119	1	0.893416154480321	0	4	1	0.999977400269675
dhaM00120	1	0.853517183022673	0	6	1	0.999977400269675
dhaM00121	1	0.809375013462474	0	8	1	0.999977400269675
dhaM00123	1	0.946162653050759	0	2	1	0.999977400269675
dhaM00124	1	0.918892144314788	0	3	1	0.999977400269675
dhaM00125	1	0.892612444415139	0	4	1	0.999977400269675
dhaM00128	1	0.869475876327041	0	5	1	0.999977400269675
dhaM00130	1	0.932638152910408	0	5	1	0.999977400269675
dhaM00131	1	0.972218904157085	0	1	1	0.999977400269675
dhaM00132	1	0.972365857535659	0	1	1	0.999977400269675
dhaM00133	1	0.870845245596207	0	5	1	0.999977400269675
dhaM00134	1	0.945870910065408	0	2	1	0.999977400269675
dhaM00140	1	0.973231410383381	0	1	1	0.999977400269675
dhaM00141	1	0.951573618244377	0	3	1	0.999977400269675
dhaM00143	1	0.761029736370745	0	10	1	0.999977400269675
dhaM00146	1	0.771833486974583	0	9	1	0.999977400269675
dhaM00147	1	0.917611226248255	0	3	1	0.999977400269675
dhaM00148	1	0.853715976328859	0	6	1	0.999977400269675
dhaM00151	1	0.944974957420798	0	2	1	0.999977400269675
dhaM00152	1	0.772837337282315	0	9	1	0.999977400269675
dhaM00158	1	0.650376997364882	0	15	1	0.999977400269675
dhaM00160	1	0.684362596256191	0	15	1	0.999977400269675
dhaM00167	1	0.850270500878573	0	6	1	0.999977400269675
dhaM00168	1	0.918900288549247	0	3	1	0.999977400269675
dhaM00170	1	0.872131461004496	0	5	1	0.999977400269675
dhaM00171	1	0.79932813726736	0	8	1	0.999977400269675
dhaM00173	1	0.873183661760517	0	6	1	0.999977400269675
dhaM00176	1	0.902679347228913	0	5	1	0.999977400269675
dhaM00338	1	0.9467625600509	0	2	1	0.999977400269675
dhaM00344	1	0.867816819558115	0	6	1	0.999977400269675
dhaM00345	1	0.950711350959242	0	3	1	0.999977400269675
dhaM00357	1	0.960617808256879	0	2	1	0.999977400269675
dhaM00368	1	0.972401043192859	0	1	1	0.999977400269675
dhaM00373	1	0.972500432423481	0	1	1	0.999977400269675
dhaM00374	1	0.972500432423481	0	1	1	0.999977400269675
dhaM00375	1	0.972500432423481	0	1	1	0.999977400269675
dhaM00376	1	0.947455858585943	0	2	1	0.999977400269675
dhaM00377	1	0.956686234257484	0	2	1	0.999977400269675
dhaM00415	1	0.843551880896339	0	6	1	0.999977400269675
dhaM00432	1	0.912257877979237	0	4	1	0.999977400269675
dhaM00433	1	0.888747375953119	0	5	1	0.999977400269675
dhaM00525	1	0.947616751665707	0	2	1	0.999977400269675
dhaM00526	1	0.947616751665707	0	2	1	0.999977400269675
dhaM00527	1	0.947616751665707	0	2	1	0.999977400269675
dhaM00531	1	0.989686785654035	0	1	1	0.999977400269675
dhaM00535	1	0.972396363632014	0	1	1	0.999977400269675
dhaM00546	1	0.899012025851386	0	4	1	0.999977400269675
dhaM00549	1	0.857499303553379	0	6	1	0.999977400269675
dhaM00554	1	0.947289044933903	0	2	1	0.999977400269675
dhaM00565	1	0.981739358513387	0	1	1	0.999977400269675
dhaM00568	1	0.972231935846124	0	1	1	0.999977400269675
dhaM00570	1	0.810610865001899	0	8	1	0.999977400269675
dhaM00572	1	0.945663058834375	0	2	1	0.999977400269675
dhaM00573	1	0.972693626271321	0	1	1	0.999977400269675
dhaM00577	1	0.946162653050759	0	2	1	0.999977400269675
dhaM00580	1	0.972142453991764	0	1	1	0.999977400269675
dhaM00596	1	0.974499704147684	0	1	1	0.999977400269675
dhaM00609	1	0.972401043192859	0	1	1	0.999977400269675
dhaM00632	1	0.903795302102118	0	4	1	0.999977400269675
dhaM00793	1	0.972318787546888	0	1	1	0.999977400269675
dhaM00840	1	0.972046036803749	0	1	1	0.999977400269675
dhaM00841	1	0.972167478908134	0	1	1	0.999977400269675
dhaM00842	1	0.972167478908134	0	1	1	0.999977400269675
dhaM00843	1	0.972167478908134	0	1	1	0.999977400269675
dhaM00844	1	0.894372583151204	0	4	1	0.999977400269675
dhaM00845	1	0.9464437602166	0	2	1	0.999977400269675
dhaM00846	1	0.835509226008355	0	7	1	0.999977400269675
dhaM00849	1	0.884963246898025	0	5	1	0.999977400269675
dhaM00854	1	0.890141372637956	0	5	1	0.999977400269675
dhaM00855	1	0.934059389832153	0	4	1	0.999977400269675
dhaM00868	1	0.825451050439895	0	7	1	0.999977400269675
dhaM00872	1	0.92386142434321	0	5	1	0.999977400269675
dhaM00873	1	0.843796765344216	0	6	1	0.999977400269675
dhaM00874	1	0.791297825239994	0	9	1	0.999977400269675
dhaM00892	1	0.813611653861822	0	8	1	0.999977400269675
dhaM00910	1	0.972206346944773	0	1	1	0.999977400269675
