category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	p.adjust.over_represented	p.adjust.under_represented
dhaM00844	0.000580504285755148	0.999992561003707	3	4	0.0957832071495994	1
dhaM00029	0.00141515578468884	0.999963603400631	3	5	0.116750352236829	1
dhaM00845	0.0028310990418158	1	2	2	0.155710447299869	1
dhaM00028	0.0127459262870422	0.999607337028773	2	4	0.525769459340492	1
dhaM00022	0.0259301741587469	0.998646231812588	2	5	0.855695747238648	1
dhaM00568	0.0562822609083947	1	1	1	1	1
dhaM00570	0.0612153803911994	0.993911634165873	2	8	1	1
dhaM00030	0.0663511429259062	0.992909868084056	2	9	1	1
dhaM00044	0.100217766497551	0.997452819413856	1	2	1	1
dhaM00123	0.106050594524729	0.997138309564747	1	2	1	1
dhaM00577	0.106050594524729	0.997138309564747	1	2	1	1
dhaM00055	0.143105443178139	0.97454975974066	2	13	1	1
dhaM00025	0.152052095236084	0.992021819058403	1	3	1	1
dhaM00024	0.154031196053784	0.991804352734833	1	3	1	1
dhaM00020	0.156554739649428	0.991522473808024	1	3	1	1
dhaM00124	0.159664614000001	0.991167997866259	1	3	1	1
dhaM00135	0.232844683641182	0.976832937146531	1	5	1	1
dhaM00023	0.234018198539635	0.976585113226037	1	5	1	1
dhaM00129	0.247648038352352	0.973597939468417	1	5	1	1
dhaM00173	0.255838031581329	0.970624800046817	1	6	1	1
dhaM00126	0.272843831326366	0.966305405449539	1	6	1	1
dhaM00051	0.299122978968436	0.957905038410366	1	7	1	1
dhaM00017	0.308880669241575	0.954891675520233	1	7	1	1
dhaM00846	0.312208346107689	0.953836338366576	1	7	1	1
dhaM00026	0.314594365127461	0.953070892928542	1	7	1	1
dhaM00034	0.403412180888935	0.916537003007945	1	9	1	1
dhaM00014	0.434803179579012	0.900321680715745	1	10	1	1
dhaM00532	0.449681534670466	0.891597782422799	1	11	1	1
dhaM00065	0.526110142103833	0.842227185952764	1	14	1	1
dhaM00873	0.999999999999999	0.706421655168744	0	6	1	1
dhaM00089	1	0.61148238456944	0	10	1	1
dhaM00001	1	0.447162082733807	0	15	1	1
dhaM00002	1	0.632277517529071	0	8	1	1
dhaM00003	1	0.563583353068016	0	10	1	1
dhaM00004	1	0.538075642072579	0	11	1	1
dhaM00005	1	0.795764613051147	0	4	1	1
dhaM00006	1	0.798573525472817	0	4	1	1
dhaM00007	1	0.712230620685188	0	6	1	1
dhaM00008	1	0.843181339805765	0	3	1	1
dhaM00009	1	0.295716042403423	0	22	1	1
dhaM00010	1	0.722798139884569	0	6	1	1
dhaM00011	1	0.413590331169777	0	16	1	1
dhaM00012	1	0.687557129227442	0	7	1	1
dhaM00013	1	0.719827842785063	0	7	1	1
dhaM00015	1	0.843162478696094	0	3	1	1
dhaM00016	1	0.895991453476725	0	2	1	1
dhaM00018	1	0.756671571238352	0	5	1	1
dhaM00019	1	0.765734553012975	0	5	1	1
dhaM00021	1	0.843417088938484	0	3	1	1
dhaM00027	1	0.724887431715096	0	6	1	1
dhaM00032	1	0.895994864535646	0	2	1	1
dhaM00033	1	0.895991453476725	0	2	1	1
dhaM00035	1	0.846174352738981	0	3	1	1
dhaM00036	1	0.846334786232348	0	3	1	1
dhaM00038	1	0.752920406243517	0	5	1	1
dhaM00040	1	0.943505461874753	0	1	1	1
dhaM00048	1	0.670910575712235	0	8	1	1
dhaM00049	1	0.66915116543493	0	7	1	1
dhaM00050	1	0.757064482188608	0	5	1	1
dhaM00052	1	0.845301242162607	0	3	1	1
dhaM00053	1	0.694259812229129	0	7	1	1
dhaM00066	1	0.947596266954901	0	1	1	1
dhaM00072	1	0.680097859140326	0	7	1	1
dhaM00073	1	0.886502500458987	0	3	1	1
dhaM00074	1	0.50538574018814	0	13	1	1
dhaM00079	1	0.951038429330868	0	1	1	1
dhaM00082	1	0.853049167459376	0	4	1	1
dhaM00083	1	0.833602206556931	0	4	1	1
dhaM00085	1	0.892091076575785	0	2	1	1
dhaM00086	1	0.783436233828917	0	6	1	1
dhaM00087	1	0.700526032131984	0	7	1	1
dhaM00088	1	0.893757500667622	0	2	1	1
