category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	p.adjust.over_represented	p.adjust.under_represented
dha03010	5.87721667493012e-33	1	62	124	7.05266000991615e-31	1
dha00100	6.62573022612193e-06	0.999999364660574	10	20	0.000397543813567315	1
dha00740	0.000134592411101003	0.999991911077521	6	10	0.00538369644404011	1
dha00020	0.00375711834010226	0.999171988221234	8	27	0.112713550203068	1
dha03013	0.00566233793456301	0.997696206451022	17	89	0.135896110429512	1
dha01110	0.0179086350017252	0.988802395293251	45	334	0.358172700034505	1
dha01200	0.0561871498362583	0.970175815396503	16	105	0.963208282907286	1
dha01040	0.0690168455319042	0.982952852628373	4	16	1	1
dha04392	0.151624137323311	0.973932256309795	2	7	1	1
dha00600	0.186946150547228	0.943561585188433	3	15	1	1
dha03015	0.187288760609123	0.907215647926969	7	47	1	1
dha00040	0.212541180778152	0.931211155488045	3	16	1	1
dha01210	0.215835490156321	0.903825425531511	5	32	1	1
dha00062	0.22595643938136	0.947028315104001	2	9	1	1
dha00620	0.226451102242182	0.888438826293442	6	41	1	1
dha00460	0.228085357896246	0.946199695840307	2	9	1	1
dha00230	0.245546663760111	0.868128585422106	7	51	1	1
dha01212	0.253451970178822	0.879975540729701	5	34	1	1
dha00640	0.270573287014938	0.90002620265112	3	18	1	1
dha00660	0.272857703195554	0.971711528086041	1	3	1	1
dha00564	0.278507638759077	0.852794346017805	6	44	1	1
dha03060	0.291986978935079	0.887252435789042	3	19	1	1
dha00790	0.304122618583444	0.910192816505938	2	11	1	1
dha03020	0.322994253156644	0.846753468833323	4	29	1	1
dha00760	0.3262745153828	0.865867244644053	3	20	1	1
dha00290	0.345130282105968	0.887423778004296	2	12	1	1
dha00511	0.347184342962499	0.946826560883511	1	4	1	1
dha00030	0.410272797116216	0.806731158322535	3	23	1	1
dha00190	0.417087139908122	0.717162269445444	9	82	1	1
dha01100	0.427509454017762	0.629488227762211	82	800	1	1
dha01230	0.430022083212975	0.689204857316365	12	110	1	1
dha02010	0.457104486637501	0.812378204820279	2	15	1	1
dha04213	0.474142525172627	0.727936451088926	4	35	1	1
dha00010	0.481207739984541	0.702170811342732	5	45	1	1
dha00071	0.496388984431309	0.736422823677561	3	26	1	1
dha00630	0.521670329287267	0.713775221179787	3	27	1	1
dha00565	0.525114804694468	0.848598356147802	1	7	1	1
dha00592	0.525954110177446	0.848034116137005	1	7	1	1
dha00450	0.573808980764234	0.810453814714894	1	8	1	1
dha04146	0.587646492987706	0.583584071954309	6	61	1	1
dha00513	0.595157843077927	0.642557211110248	3	30	1	1
dha04122	0.611612436753789	0.776491551511171	1	9	1	1
dha00240	0.613800421542008	0.623057066511955	3	31	1	1
dha00250	0.619890874787664	0.616699550759466	3	31	1	1
dha04113	0.670947276092547	0.463723534240899	9	98	1	1
dha00561	0.681584129728735	0.547457743318363	3	34	1	1
dha00130	0.687477585657134	0.696909234089141	1	11	1	1
dha00520	0.701010111409246	0.524195050992832	3	35	1	1
dha00680	0.713400047183624	0.558595825332592	2	24	1	1
dha03008	0.755950491692678	0.391479312752215	6	73	1	0.978698281880537
dha04011	0.759371224381244	0.376203446550833	7	84	1	0.978698281880537
dha00360	0.77588921030546	0.579048315087328	1	14	1	1
dha00061	0.798084799832556	0.544057178827937	1	15	1	1
dha00350	0.853350592546733	0.44504625433078	1	18	1	1
dha03040	0.856917307327582	0.254781545608743	6	84	1	0.779643420798581
dha00900	0.867795997421295	0.415788207316935	1	19	1	1
dha00400	0.88125857794246	0.38704317918207	1	20	1	0.978698281880537
dha00410	0.882279389220247	0.38485734878379	1	20	1	0.978698281880537
dha00051	0.899799677403934	0.265124194107534	2	37	1	0.779643420798581
dha00260	0.923336617384054	0.216076830429209	2	40	1	0.747735798214697
dha00480	0.930464192263146	0.266378168772848	1	25	1	0.779643420798581
dha00510	0.954240250716	0.195760367987886	1	29	1	0.734101379954573
dha04120	0.961144670389261	0.1262382524891	2	48	1	0.602715794964251
dha03022	0.966779490967328	0.153519933328165	1	32	1	0.634886028807058
dha04145	0.972752408517006	0.131689833703793	1	34	1	0.602715794964251
dha03018	0.979520843888991	0.074735702530934	2	55	1	0.602715794964251
dha04139	0.980800758473778	0.100046995224963	1	37	1	0.602715794964251
dha00270	0.987614355842393	0.0703947578898384	1	41	1	0.602715794964251
dha04141	0.990641369199143	0.0319410935207654	3	80	1	0.480468433697536
dha04111	0.994991165308952	0.0162301718966062	4	103	1	0.414380450265488
dha04138	0.996765932738469	0.015474293021882	2	74	1	0.414380450265488
dha00970	0.999999694159292	1.74956151854737e-06	5	238	1	0.000209947382225685
dha00052	1	0.162404852872077	0	17	1	0.634886028807058
dha00053	1	0.527603666813477	0	6	1	1
dha00072	1	0.726472545133783	0	3	1	1
dha00220	1	0.14622929065398	0	18	1	0.62669695994563
dha00261	1	0.726568556488835	0	3	1	1
dha00280	1	0.131096079041816	0	19	1	0.602715794964251
dha00300	1	0.277938722384738	0	12	1	0.781669613005894
dha00310	1	0.0852477906280787	0	23	1	0.602715794964251
dha00330	1	0.0362448059484258	0	31	1	0.480468433697536
dha00332	1	0.808174867271909	0	2	1	1
dha00340	1	0.202259179336891	0	15	1	0.735487924861422
dha00380	1	0.106168284681581	0	21	1	0.602715794964251
dha00430	1	0.528079632011804	0	6	1	1
dha00440	1	0.726663344456081	0	3	1	1
dha00472	1	0.727068212372003	0	3	1	1
dha00500	1	0.0400390361414613	0	30	1	0.480468433697536
dha00514	1	0.224024571771084	0	14	1	0.747735798214697
dha00515	1	0.586720558476797	0	5	1	1
dha00531	1	0.80805468650153	0	2	1	1
dha00562	1	0.0954726768283653	0	22	1	0.602715794964251
