category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	p.adjust.over_represented	p.adjust.under_represented
dha01100	4.71444979821273e-06	0.999997973528689	75	800	0.000565733975785528	1
dha01110	1.28754521983534e-05	0.999995029734143	40	334	0.000772527131901205	1
dha00280	9.42117307274447e-05	0.999991045028191	7	19	0.00268580206426183	1
dha01230	0.00010340027768931	0.999970364031245	18	110	0.00268580206426183	1
dha00071	0.000111908419344243	0.999986172073848	8	26	0.00268580206426183	1
dha00620	0.000137742527178342	0.999976255679783	10	41	0.00275485054356683	1
dha00500	0.000254320850452831	0.999963310101833	8	30	0.00435978600776282	1
dha04138	0.000337329067446297	0.999914841749535	13	74	0.00505993601169445	1
dha00220	0.000505761151823613	0.999946269722667	6	18	0.00674348202431484	1
dha00561	0.000869470174471068	0.999844804817594	8	34	0.0104336420936528	1
dha00340	0.00166970622619096	0.999823448370615	5	15	0.0182149770129923	1
dha00603	0.00396284891106575	1	2	2	0.0396284891106575	1
dha00053	0.00430347527971639	0.999791556066282	3	6	0.0397243871973821	1
dha00410	0.00632945321763858	0.999016034012344	5	20	0.0542524561511878	1
dha04136	0.00761760493047384	0.998740353623677	5	22	0.0609408394437907	1
dha00380	0.00844706325336725	0.998577950135353	5	21	0.0633529744002544	1
dha00460	0.0145011641098834	0.998649854309494	3	9	0.102361158422706	1
dha00010	0.0203573352292148	0.994045040226812	7	45	0.127790623640995	1
dha00640	0.0211182869608357	0.996392261105283	4	18	0.127790623640995	1
dha04139	0.0212984372734992	0.994425238958002	6	37	0.127790623640995	1
dha04011	0.0253183622809462	0.990223486304705	10	84	0.144676355891121	1
dha00400	0.0340163155375519	0.993149457310196	4	20	0.185543539295738	1
dha00250	0.0379777182777565	0.990088574830844	5	31	0.198144617101338	1
dha00270	0.0420007251898856	0.986990558348	6	41	0.210003625949428	1
dha01210	0.0462845188549186	0.987209205398603	5	32	0.222165690503609	1
dha00310	0.0508030705523206	0.988156096516554	4	23	0.23447571024148	1
dha00650	0.0540263841686044	0.990649327476495	3	14	0.240117262971575	1
dha00592	0.063743846918779	0.993458370245482	2	7	0.273187915366196	1
dha04113	0.0681320233140891	0.96852747826129	10	98	0.281925613713472	1
dha00630	0.0857247814685813	0.975803750703832	4	27	0.342899125874325	1
dha00350	0.101133711939948	0.976449868178205	3	18	0.391485336541732	1
dha00750	0.108452286503375	0.983917530114201	2	9	0.395415421472215	1
dha03410	0.108739240904859	0.973719273763373	3	19	0.395415421472215	1
dha00531	0.114220591493005	0.996563416644618	1	2	0.396211877083889	1
dha00513	0.115561797482801	0.963476328761083	4	30	0.396211877083889	1
dha00604	0.12130549602152	0.996108642025799	1	2	0.404351653405066	1
dha00770	0.159097896203948	0.95382911295137	3	22	0.513838992752951	1
dha00300	0.167440348340823	0.966195906160164	2	12	0.513838992752951	1
dha00590	0.168781727646126	0.98978761227188	1	3	0.513838992752951	1
dha00290	0.171279664250984	0.96493190527175	2	12	0.513838992752951	1
dha00514	0.210053387116821	0.95022376733402	2	14	0.603577758657262	1
dha00511	0.211252215530042	0.981719879743846	1	4	0.603577758657262	1
dha04141	0.216947593791016	0.886307294596683	7	80	0.605435145463301	1
dha00515	0.263506681458835	0.969003742245823	1	5	0.718654585796824	1
dha04144	0.271708160959401	0.855706922049308	6	71	0.724555095891736	1
dha00780	0.278836884192752	0.965024584789767	1	5	0.725394706846799	1
dha00564	0.284112926848329	0.870393905713793	4	44	0.725394706846799	1
dha00860	0.293460974554219	0.911870139875656	2	17	0.733652436385547	1
dha00330	0.31446880842272	0.870197081392103	3	31	0.760930359453746	1
dha00430	0.317054316439061	0.952161626215649	1	6	0.760930359453746	1
dha04146	0.333280534103361	0.821711021655206	5	61	0.76644852605882	1
dha00900	0.341308515565005	0.885358325004896	2	19	0.76644852605882	1
dha01212	0.344936540770679	0.849892229946597	3	34	0.76644852605882	1
dha04145	0.347102443690969	0.848443477491021	3	34	0.76644852605882	1
dha00565	0.351288907776959	0.938723983681353	1	7	0.76644852605882	1
dha00520	0.371765948317066	0.83134297962068	3	35	0.796641317822285	1
dha00910	0.384046592353711	0.924160213308829	1	8	0.808519141797287	1
dha00450	0.402881484672419	0.915705287974706	1	8	0.833547899322246	1
dha00680	0.448922978138337	0.813506691977404	2	24	0.913063684349161	1
dha00480	0.465553766097433	0.800778237548847	2	25	0.931107532194866	1
dha01200	0.494422189171048	0.661838203175085	7	105	0.967944282598179	1
dha00790	0.510894427169211	0.851424125997273	1	11	0.967944282598179	1
dha00020	0.513391273039387	0.762027884502518	2	27	0.967944282598179	1
dha00130	0.516236950719029	0.847824554195024	1	11	0.967944282598179	1
dha00730	0.546146564231406	0.82548129799493	1	12	0.999571318483078	1
dha02010	0.554818697799525	0.816427495520489	1	15	0.999571318483078	1
dha00920	0.565308688233031	0.809799542131783	1	13	0.999571318483078	1
dha04120	0.566423747140411	0.667238883813375	3	48	0.999571318483078	1
dha00240	0.584352725907592	0.697127952662855	2	31	1	1
dha00061	0.595371892679238	0.783221029030582	1	15	1	1
dha00360	0.598024567912271	0.781735928880134	1	14	1	1
dha00600	0.624073415921383	0.757307973691242	1	15	1	1
dha00230	0.627413755968893	0.604755503499413	3	51	1	1
dha04213	0.640142009175884	0.639375563695935	2	35	1	1
dha01040	0.649292823527554	0.731908491184268	1	16	1	1
dha00040	0.65291035808169	0.72823068722717	1	16	1	1
dha00052	0.660625646556031	0.719504676708861	1	17	1	1
dha00051	0.68956406111211	0.583231020949497	2	37	1	1
dha03440	0.709720518673332	0.662336434190432	1	20	1	1
dha04130	0.716573523792981	0.654585710525379	1	19	1	1
dha00100	0.72891894483655	0.638475144733656	1	20	1	1
