category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	p.adjust.over_represented	p.adjust.under_represented
dha03008	2.65187371365429e-08	0.999999998104902	11	73	3.18224845638515e-06	0.999999998104902
dha03020	2.72331092365752e-05	0.999998248753745	6	29	0.00163398655419451	0.999999998104902
dha00740	0.00171070290409688	0.99992667627026	3	10	0.0684281161638752	0.999999998104902
dha04113	0.0459379578785844	0.98917560628362	4	98	1	0.999999998104902
dha00450	0.121287099104258	0.993400172322124	1	8	1	0.999999998104902
dha00970	0.188286745057663	0.89939508091059	9	238	1	0.999999998104902
dha00290	0.197191672558608	0.981172500766611	1	12	1	0.999999998104902
dha00790	0.200348660964004	0.980688370009551	1	11	1	0.999999998104902
dha04122	0.204249803820305	0.980311367216833	1	9	1	0.999999998104902
dha03013	0.214898147515927	0.925912989886927	3	89	1	0.999999998104902
dha03040	0.256826423287001	0.903564629768397	3	84	1	0.999999998104902
dha04138	0.320192820016632	0.894041168838181	2	74	1	0.999999998104902
dha00310	0.326930317848576	0.943022658210679	1	23	1	0.999999998104902
dha00630	0.424748735441307	0.898587401547463	1	27	1	0.999999998104902
dha04139	0.457767262143249	0.879174663759614	1	37	1	0.999999998104902
dha04213	0.468402742645936	0.872950190464566	1	35	1	0.999999998104902
dha00260	0.577554664143594	0.793984046888311	1	40	1	0.999999998104902
dha00270	0.604619585999825	0.770318984581762	1	41	1	0.999999998104902
dha01200	0.622557236956283	0.65676170258712	2	105	1	0.999999998104902
dha04146	0.702827672407797	0.666423294694661	1	61	1	0.999999998104902
dha04011	0.703621628082397	0.66450260702064	1	84	1	0.999999998104902
dha04111	0.739731082832639	0.618374602664849	1	103	1	0.999999998104902
dha01110	0.822347843392626	0.31996803173355	5	334	1	0.999999998104902
dha03010	0.884913294352783	0.293361133657991	2	124	1	0.999999998104902
dha01230	0.899007719552879	0.341179988584589	1	110	1	0.999999998104902
dha01100	0.999829502371669	0.000686502519942697	6	800	1	0.0823803023931237
dha00010	1	0.414877152154272	0	45	1	0.999999998104902
dha00020	1	0.573934557083709	0	27	1	0.999999998104902
dha00030	1	0.609233695808268	0	23	1	0.999999998104902
dha00040	1	0.677082129475008	0	16	1	0.999999998104902
dha00051	1	0.434505189681899	0	37	1	0.999999998104902
dha00052	1	0.786654388722779	0	17	1	0.999999998104902
dha00053	1	0.896636298817091	0	6	1	0.999999998104902
dha00061	1	0.817219558291643	0	15	1	0.999999998104902
dha00062	1	0.790868175073342	0	9	1	0.999999998104902
dha00071	1	0.638427976495986	0	26	1	0.999999998104902
dha00072	1	0.941508330147086	0	3	1	0.999999998104902
dha00100	1	0.680996765089793	0	20	1	0.999999998104902
dha00130	1	0.761794778641895	0	11	1	0.999999998104902
dha00190	1	0.110963011519843	0	82	1	0.999999998104902
dha00220	1	0.712487148789208	0	18	1	0.999999998104902
dha00240	1	0.507067773037556	0	31	1	0.999999998104902
dha00250	1	0.580740088170371	0	31	1	0.999999998104902
dha00261	1	0.944826032325412	0	3	1	0.999999998104902
dha00280	1	0.691743917172642	0	19	1	0.999999998104902
dha00300	1	0.810334782454392	0	12	1	0.999999998104902
dha00330	1	0.524181393552013	0	31	1	0.999999998104902
dha00332	1	0.958575334400904	0	2	1	0.999999998104902
dha00340	1	0.741993167915922	0	15	1	0.999999998104902
dha00350	1	0.683148513623443	0	18	1	0.999999998104902
dha00360	1	0.790450644994156	0	14	1	0.999999998104902
dha00380	1	0.668972090241825	0	21	1	0.999999998104902
dha00400	1	0.644289446184943	0	20	1	0.999999998104902
dha00410	1	0.735263589592433	0	20	1	0.999999998104902
dha00430	1	0.914830454171325	0	6	1	0.999999998104902
dha00440	1	0.935190129235609	0	3	1	0.999999998104902
dha00460	1	0.87250173127392	0	9	1	0.999999998104902
dha00472	1	0.929685003168136	0	3	1	0.999999998104902
dha00480	1	0.620480285912853	0	25	1	0.999999998104902
dha00500	1	0.693725613605165	0	30	1	0.999999998104902
dha00510	1	0.557103200331022	0	29	1	0.999999998104902
dha00511	1	0.973413334524073	0	4	1	0.999999998104902
dha00513	1	0.566159252166665	0	30	1	0.999999998104902
dha00514	1	0.837372502629258	0	14	1	0.999999998104902
dha00515	1	0.965111180839651	0	5	1	0.999999998104902
dha00520	1	0.538676329207074	0	35	1	0.999999998104902
dha00531	1	0.982423494643809	0	2	1	0.999999998104902
dha00561	1	0.524732079629052	0	34	1	0.999999998104902
dha00562	1	0.734623464999718	0	22	1	0.999999998104902
dha00563	1	0.672173925289425	0	22	1	0.999999998104902
dha00564	1	0.453935003044389	0	44	1	0.999999998104902
dha00565	1	0.893343324610575	0	7	1	0.999999998104902
dha00590	1	0.972271503783456	0	3	1	0.999999998104902
dha00592	1	0.906747230303798	0	7	1	0.999999998104902
dha00600	1	0.747566801935141	0	15	1	0.999999998104902
dha00603	1	0.964680314977908	0	2	1	0.999999998104902
dha00604	1	0.972012741468026	0	2	1	0.999999998104902
dha00620	1	0.46172311812992	0	41	1	0.999999998104902
dha00640	1	0.748342446768794	0	18	1	0.999999998104902
dha00650	1	0.766037124245256	0	14	1	0.999999998104902
dha00660	1	0.941160717892956	0	3	1	0.999999998104902
dha00670	1	0.776657767024779	0	13	1	0.999999998104902
dha00680	1	0.634921712064398	0	24	1	0.999999998104902
dha00730	1	0.765053784527844	0	12	1	0.999999998104902
dha00750	1	0.794749037089743	0	9	1	0.999999998104902
dha00760	1	0.638390470263735	0	20	1	0.999999998104902
dha00770	1	0.633142452981848	0	22	1	0.999999998104902
dha00780	1	0.903387911901937	0	5	1	0.999999998104902
dha00785	1	0.932829258113025	0	3	1	0.999999998104902
dha00791	1	0.969310367279075	0	2	1	0.999999998104902
dha00860	1	0.693702952948356	0	17	1	0.999999998104902
dha00900	1	0.646651974750716	0	19	1	0.999999998104902
dha00909	1	0.962342523226014	0	2	1	0.999999998104902
dha00910	1	0.877323605189097	0	8	1	0.999999998104902
dha00920	1	0.772880598514584	0	13	1	0.999999998104902
dha01040	1	0.715984904634852	0	16	1	0.999999998104902
dha01210	1	0.556579106978075	0	32	1	0.999999998104902
dha01212	1	0.544812546881896	0	34	1	0.999999998104902
dha01501	1	0.996286033801752	0	1	1	0.999999998104902
dha02010	1	0.941757189488812	0	15	1	0.999999998104902
dha03015	1	0.418237906335839	0	47	1	0.999999998104902
dha03018	1	0.368797993442417	0	55	1	0.999999998104902
dha03022	1	0.518475977644801	0	32	1	0.999999998104902
dha03030	1	0.596318038438706	0	32	1	0.999999998104902
dha03050	1	0.417103796931869	0	36	1	0.999999998104902
dha03060	1	0.650304595541449	0	19	1	0.999999998104902
dha03410	1	0.679192250623347	0	19	1	0.999999998104902
dha03420	1	0.515859544812531	0	38	1	0.999999998104902
dha03430	1	0.741488510186716	0	20	1	0.999999998104902
dha03440	1	0.743335258237395	0	20	1	0.999999998104902
dha03450	1	0.937721106151837	0	7	1	0.999999998104902
dha04070	1	0.752577353796499	0	22	1	0.999999998104902
dha04120	1	0.433147273435311	0	48	1	0.999999998104902
dha04130	1	0.588983637636119	0	19	1	0.999999998104902
dha04136	1	0.719878510090932	0	22	1	0.999999998104902
dha04141	1	0.24783982628595	0	80	1	0.999999998104902
dha04144	1	0.242562460541263	0	71	1	0.999999998104902
dha04145	1	0.489731324730811	0	34	1	0.999999998104902
dha04392	1	0.901176359092435	0	7	1	0.999999998104902
dha00230	1	0.349522157578346	0	51	1	0.999999998104902
