category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	p.adjust.over_represented	p.adjust.under_represented
dha01100	0.00284230456511932	0.999261965954101	15	800	0.260971926149876	0.999954711125831
dha00620	0.00601908893761437	0.999532232246014	3	41	0.260971926149876	0.999954711125831
dha00730	0.00652429815374689	0.999790375925943	2	12	0.260971926149876	0.999954711125831
dha00280	0.0131858146960607	0.999355374606971	2	19	0.286819347969525	0.999954711125831
dha00531	0.0137028201275629	0.999954711125831	1	2	0.286819347969525	0.999954711125831
dha00604	0.0177559874833136	0.999923793984759	1	2	0.286819347969525	0.999954711125831
dha00603	0.018367292707288	0.99991843006888	1	2	0.286819347969525	0.999954711125831
dha00500	0.0209672609184019	0.998649516062179	2	30	0.286819347969525	0.999954711125831
dha00071	0.0215114510977144	0.998606522383652	2	26	0.286819347969525	0.999954711125831
dha00511	0.0242578858986203	0.999786368057125	1	4	0.291094630783444	0.999954711125831
dha04011	0.0278810836549467	0.996070082115849	3	84	0.304157276235782	0.999954711125831
dha00513	0.0322489092165772	0.997383631464089	2	30	0.322489092165772	0.999954711125831
dha00561	0.0385254058469238	0.996537425139274	2	34	0.33460448154214	0.999954711125831
dha00520	0.0390371895132497	0.99646169587362	2	35	0.33460448154214	0.999954711125831
dha00592	0.0549511703891937	0.998732489028635	1	7	0.412816225212697	0.999954711125831
dha00053	0.055042163361693	0.998762989973969	1	6	0.412816225212697	0.999954711125831
dha02010	0.0646728497224566	0.998083937385434	1	15	0.456514233334988	0.999954711125831
dha01110	0.0897720175318642	0.967696412713505	6	334	0.598480116879095	0.999954711125831
dha04122	0.103685783070469	0.995229025843326	1	9	0.606734738324955	0.999954711125831
dha00790	0.105385615380526	0.994959634451825	1	11	0.606734738324955	0.999954711125831
dha00514	0.106178579206867	0.994776096933664	1	14	0.606734738324955	0.999954711125831
dha00130	0.11450365116557	0.994027412104965	1	11	0.624565369994021	0.999954711125831
dha00340	0.134913517636573	0.991425312352392	1	15	0.703896613756031	0.999954711125831
dha01040	0.145019475786412	0.990009247520813	1	16	0.725097378932059	0.999954711125831
dha00860	0.159114583407921	0.987857835730762	1	17	0.746195595339944	0.999954711125831
dha00410	0.161675712323655	0.98733960418241	1	20	0.746195595339944	0.999954711125831
dha00760	0.183128092075972	0.983611959422137	1	20	0.766372392044517	0.999954711125831
dha00310	0.18504197022483	0.983146946705273	1	23	0.766372392044517	0.999954711125831
dha00380	0.185206661410758	0.983184003147119	1	21	0.766372392044517	0.999954711125831
dha00770	0.197604486210821	0.980716843608221	1	22	0.790417944843286	0.999954711125831
dha01212	0.25797254408873	0.965755728848209	1	34	0.989949780606379	0.999954711125831
dha00330	0.263986608161701	0.964140908605807	1	31	0.989949780606379	0.999954711125831
dha00240	0.2750767289293	0.960873489303972	1	31	1	0.999954711125831
dha00564	0.326704316473908	0.943013061939019	1	44	1	0.999954711125831
dha00010	0.347683434200136	0.934796423829637	1	45	1	0.999954711125831
dha00230	0.406429001130166	0.908124417377051	1	51	1	0.999954711125831
dha04146	0.446056561603395	0.886780708101642	1	61	1	0.999954711125831
dha04113	0.556246229213989	0.811973711025853	1	98	1	0.999954711125831
dha00970	0.963940193271151	0.12357510830381	2	238	1	0.999954711125831
dha03010	0.999999999999999	0.144731065426256	0	124	1	0.999954711125831
dha00020	1	0.766668667177123	0	27	1	0.999954711125831
dha00030	1	0.789286868785632	0	23	1	0.999954711125831
dha00040	1	0.848501824753965	0	16	1	0.999954711125831
dha00051	1	0.68625105218343	0	37	1	0.999954711125831
dha00052	1	0.869181838486026	0	17	1	0.999954711125831
dha00061	1	0.89475277940269	0	15	1	0.999954711125831
dha00062	1	0.907720891871036	0	9	1	0.999954711125831
dha00072	1	0.971866941065131	0	3	1	0.999954711125831
dha00100	1	0.828101203041925	0	20	1	0.999954711125831
dha00190	1	0.304904730125959	0	82	1	0.999954711125831
dha00220	1	0.852437225605498	0	18	1	0.999954711125831
dha00250	1	0.763455000081182	0	31	1	0.999954711125831
dha00260	1	0.674032547022133	0	40	1	0.999954711125831
dha00261	1	0.971987043885132	0	3	1	0.999954711125831
