category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	p.adjust.over_represented	p.adjust.under_represented
dha00010	3.03832990668994e-10	0.999999999986331	13	45	3.64599588802793e-08	0.999999999986331
dha01100	7.42330401758041e-09	0.999999998514137	48	800	3.25412434781052e-07	0.999999999986331
dha01200	8.13531086952629e-09	0.999999999025985	17	105	3.25412434781052e-07	0.999999999986331
dha01110	1.80937474216229e-07	0.999999958358663	28	334	5.42812422648686e-06	0.999999999986331
dha00020	1.23972137662848e-05	0.999999097038384	7	27	0.000297533130390836	0.999999999986331
dha00620	0.000208543989888776	0.999974438988392	7	41	0.00417087979777552	0.999999999986331
dha00100	0.000297629880791557	0.999977642890625	5	20	0.00510222652785527	0.999999999986331
dha00561	0.000512255323793965	0.999940092582316	6	34	0.00768382985690948	0.999999999986331
dha00680	0.000695307242903773	0.99993485340148	5	24	0.00927076323871697	0.999999999986331
dha00040	0.0014332909205031	0.999891771011614	4	16	0.0171994910460372	0.999999999986331
dha01230	0.00664930730374848	0.998089262439219	9	110	0.0725378978590743	0.999999999986331
dha00071	0.00759084965799116	0.999014041810999	4	26	0.0759084965799116	0.999999999986331
dha00630	0.00954827841137858	0.998669002483213	4	27	0.0881379545665715	0.999999999986331
dha00640	0.0152117685204911	0.998356877853027	3	18	0.130386587318495	0.999999999986331
dha00230	0.0197164788371962	0.995601707090979	5	51	0.157731830697569	0.999999999986331
dha00051	0.0286813141313231	0.994290366070307	4	37	0.215109855984924	0.999999999986331
dha04122	0.0330493084998268	0.99752018562446	2	9	0.233289236469366	0.999999999986331
dha00730	0.0557697668228493	0.994132370501689	2	12	0.371798445485662	0.999999999986331
dha00511	0.0981062166479227	0.99628999467243	1	4	0.619618210407933	0.999999999986331
dha00280	0.12448316374139	0.978205596283309	2	19	0.746898982448341	0.999999999986331
dha00260	0.135865259153793	0.962385686535951	3	40	0.757110138596808	0.999999999986331
dha00564	0.145061415106846	0.958496944139601	3	44	0.757110138596808	0.999999999986331
dha00380	0.145586847817265	0.971807683743561	2	21	0.757110138596808	0.999999999986331
dha04113	0.15160314630317	0.938450776351903	5	98	0.757110138596808	0.999999999986331
dha00310	0.159359011447789	0.967214743572461	2	23	0.757110138596808	0.999999999986331
dha00030	0.164040530029308	0.96565067268018	2	23	0.757110138596808	0.999999999986331
dha00053	0.178393434509501	0.985923324961757	1	6	0.775107270468476	0.999999999986331
dha00565	0.183264357116781	0.984710557223787	1	7	0.775107270468476	0.999999999986331
dha04392	0.187317590363215	0.983997937254716	1	7	0.775107270468476	0.999999999986331
dha00500	0.206830239721909	0.949313599463822	2	30	0.809074005907742	0.999999999986331
dha04011	0.2090107848595	0.915290219541605	4	84	0.809074005907742	0.999999999986331
dha00450	0.222875463180393	0.976534269719975	1	8	0.835782986926472	0.999999999986331
dha00240	0.249651503392474	0.930904167963	2	31	0.907823648699906	0.999999999986331
dha02010	0.264451402222365	0.964292101377043	1	15	0.921838297579089	0.999999999986331
dha01212	0.268869503460568	0.921609072598168	2	34	0.921838297579089	0.999999999986331
dha00520	0.29360948661393	0.909146319247427	2	35	0.94208584702394	0.999999999986331
dha00790	0.298162081963934	0.954984663442656	1	11	0.94208584702394	0.999999999986331
dha04146	0.298327184890914	0.878647263123597	3	61	0.94208584702394	0.999999999986331
dha00130	0.307492800363982	0.951912786948932	1	11	0.946131693427637	0.999999999986331
dha00061	0.334783568715442	0.94090134490178	1	15	1	0.999999999986331
dha00514	0.344763752309673	0.937307336279655	1	14	1	0.999999999986331
dha00360	0.363120151109344	0.929832770380221	1	14	1	0.999999999986331
dha00340	0.387024081566649	0.918990298537694	1	15	1	0.999999999986331
dha00270	0.387958129583808	0.85365582330831	2	41	1	0.999999999986331
dha00052	0.404282326998502	0.910202993476951	1	17	1	0.999999999986331
dha01040	0.407327866228725	0.909004809278283	1	16	1	0.999999999986331
dha00350	0.447915617558641	0.886945472296301	1	18	1	0.999999999986331
dha00562	0.459897456252696	0.879016100334731	1	22	1	0.999999999986331
dha00410	0.468822506886345	0.874163459254576	1	20	1	0.999999999986331
dha00760	0.485115180021641	0.864071952983261	1	20	1	0.999999999986331
dha03018	0.491963461299433	0.776906662306933	2	55	1	0.999999999986331
dha00770	0.515794926533575	0.843104265352733	1	22	1	0.999999999986331
dha00480	0.543991624717223	0.821855769288853	1	25	1	0.999999999986331
dha04111	0.558679393261633	0.673420613267533	3	103	1	0.999999999986331
dha00513	0.62268436239232	0.753795547077319	1	30	1	0.999999999986331
dha00330	0.64376429322739	0.732961494000576	1	31	1	0.999999999986331
dha01210	0.64444773354515	0.732078916634979	1	32	1	0.999999999986331
dha04139	0.665290891760161	0.70953879907719	1	37	1	0.999999999986331
dha00190	0.755037468668419	0.497834191621004	2	82	1	0.999999999986331
dha04138	0.888762751243545	0.36330735692711	1	74	1	0.999999999986331
dha00970	0.999767580968509	0.00234210068370648	1	238	1	0.281052082044778
dha04141	0.999999999999999	0.0834784950286862	0	80	1	0.999999999986331
dha00062	1	0.738807810162941	0	9	1	0.999999999986331
dha00072	1	0.905331994500684	0	3	1	0.999999999986331
dha00220	1	0.568603074102016	0	18	1	0.999999999986331
