category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	p.adjust.over_represented	p.adjust.under_represented
dha01230	8.52259980619954e-09	0.99999999905781	16	110	1.02271197674395e-06	0.99999999905781
dha00220	6.7604443233315e-05	0.999996436293069	5	18	0.0040562665939989	0.99999999905781
dha01100	0.000144250957526941	0.999951124176096	35	800	0.00577003830107762	0.99999999905781
dha01110	0.000198291707130425	0.999939842771778	20	334	0.00594875121391274	0.99999999905781
dha00400	0.00183019436425068	0.999847162174911	4	20	0.0439246647420163	0.99999999905781
dha00270	0.00482381987582091	0.999256222811154	5	41	0.0964763975164182	0.99999999905781
dha00340	0.00663710443143251	0.999488612642302	3	15	0.113778933110272	0.99999999905781
dha00750	0.0254946558096709	0.99834410679491	2	9	0.382419837145063	0.99999999905781
dha00300	0.0360758513542896	0.997025837995042	2	12	0.448454324636988	0.99999999905781
dha00290	0.037371193719749	0.996859173335145	2	12	0.448454324636988	0.99999999905781
dha00250	0.044169878721994	0.992481574651497	3	31	0.481853222421753	0.99999999905781
dha01210	0.049052170164534	0.991277298322597	3	32	0.49052170164534	0.99999999905781
dha00561	0.0567016269753146	0.989274470573463	3	34	0.523399633618289	0.99999999905781
dha04113	0.080959688379455	0.973007505735634	5	98	0.693940186109614	0.99999999905781
dha00260	0.0938384611834344	0.977961804361612	3	40	0.750707689467475	0.99999999905781
dha00380	0.108418493311933	0.982432191714475	2	21	0.813138699839499	0.99999999905781
dha00310	0.117399895411593	0.979948417225268	2	23	0.820170572395137	0.99999999905781
dha00780	0.128054148048993	0.993197142125202	1	5	0.820170572395137	0.99999999905781
dha03450	0.13706777108947	0.991638817966833	1	7	0.820170572395137	0.99999999905781
dha01200	0.144087873697479	0.942679822416187	5	105	0.820170572395137	0.99999999905781
dha00500	0.149461816109104	0.97010667050793	2	30	0.820170572395137	0.99999999905781
dha00053	0.150364604939108	0.990148324775446	1	6	0.820170572395137	0.99999999905781
dha00510	0.178324013015198	0.960345202574144	2	29	0.930386154861904	0.99999999905781
dha00513	0.186393400303197	0.957335741535088	2	30	0.931967001515986	0.99999999905781
dha00520	0.224541570364582	0.941865145069885	2	35	1	0.99999999905781
dha04139	0.228921172730643	0.939878704891123	2	37	1	0.99999999905781
dha00062	0.231862060052926	0.974189131636084	1	9	1	0.99999999905781
dha00790	0.255926639050593	0.967548667193689	1	11	1	0.99999999905781
dha00130	0.271834091332969	0.963123452120151	1	11	1	0.99999999905781
dha00730	0.287170193172956	0.958243106189869	1	12	1	0.99999999905781
dha00920	0.293139278638615	0.956096090205186	1	13	1	0.99999999905781
dha00620	0.294984994058486	0.908253573811451	2	41	1	0.99999999905781
dha00564	0.306096420306616	0.902205589427848	2	44	1	0.99999999905781
dha00360	0.308349702025	0.95081942169981	1	14	1	0.99999999905781
dha04120	0.331105187856326	0.888149330779048	2	48	1	0.99999999905781
dha00010	0.33863788535049	0.883997510090165	2	45	1	0.99999999905781
dha00040	0.370038042932703	0.926448133358282	1	16	1	0.99999999905781
dha00860	0.377214618894056	0.923040766926318	1	17	1	0.99999999905781
dha03040	0.379464630159027	0.824330140061532	3	84	1	0.99999999905781
dha03440	0.382556274316189	0.920004341615455	1	20	1	0.99999999905781
dha00350	0.394271433195353	0.914961499558263	1	18	1	0.99999999905781
dha00410	0.399541851384036	0.912008773762269	1	20	1	0.99999999905781
dha03410	0.400240522954374	0.911876214102276	1	19	1	0.99999999905781
dha00280	0.409495382860851	0.907324200100142	1	19	1	0.99999999905781
dha00900	0.415850907898697	0.904117233152159	1	19	1	0.99999999905781
dha00563	0.434459389476907	0.893680414362536	1	22	1	0.99999999905781
dha00770	0.456656287170178	0.881173063413945	1	22	1	0.99999999905781
dha00680	0.471145910757318	0.872127391264277	1	24	1	0.99999999905781
dha00071	0.489491530209169	0.860231011454549	1	26	1	0.99999999905781
dha00020	0.520965918659915	0.838704876943861	1	27	1	0.99999999905781
dha00630	0.522955689152857	0.837287388936051	1	27	1	0.99999999905781
dha04138	0.538964484394312	0.736661436270273	2	74	1	0.99999999905781
dha00240	0.57016746709989	0.80043829999203	1	31	1	0.99999999905781
dha00330	0.581395734410789	0.791086985025359	1	31	1	0.99999999905781
dha01212	0.584640618649082	0.787872838377347	1	34	1	0.99999999905781
dha04011	0.596184713297337	0.682661542412055	2	84	1	0.99999999905781
dha04145	0.597471833275411	0.776700694387744	1	34	1	0.99999999905781
