Geneid	RNA STAR on Control1: mapped.bam
gene-DEHA2A00110g	172
gene-DEHA2A00132g	54
gene-DEHA2A00154g	17157
gene-DEHA2A00176g	107
gene-DEHA2A00198g	284
gene-DEHA2A00220g	810
gene-DEHA2A00242g	1504
gene-DEHA2A00264g	972
gene-DEHA2A00286g	2203
gene-DEHA2A00308g	273
gene-DEHA2A00330g	46
gene-DEHA2A00352g	303
gene-DEHA2A00374g	140
gene-DEHA2A00396g	26
gene-DEHA2A00418g	893
gene-DEHA2A00440g	1766
gene-DEHA2A00462g	650
gene-DEHA2A00484g	1287
gene-DEHA2A00506g	5757
gene-DEHA2A00528g	1161
gene-DEHA2A00550g	7032
gene-DEHA2A00572g	483
gene-DEHA2A00594g	3394
gene-DEHA2A00616g	1742
gene-DEHA2A00638g	1075
gene-DEHA2A00660g	868
gene-DEHA2A00682g	521
gene-DEHA2A00704g	301
gene-DEHA2A00726g	3032
gene-DEHA2A00748g	959
gene-DEHA2A00770g	2478
gene-DEHA2A00792g	3497
gene-DEHA2A00814g	11716
gene-DEHA2A00836g	2046
gene-DEHA2A00858g	979
gene-DEHA2A00880g	7956
gene-DEHA2A00902g	1217
gene-DEHA2A00924r	6
gene-DEHA2A00946g	191
gene-DEHA2A00968g	843
gene-DEHA2A00990r	2
gene-DEHA2A01012g	571
gene-DEHA2A01034g	2661
gene-DEHA2A01056g	908
gene-DEHA2A01078r	0
gene-DEHA2A01100g	9143
gene-DEHA2A01122g	2452
gene-DEHA2A01144g	9663
gene-DEHA2A01166g	3
gene-DEHA2A01188g	1
gene-DEHA2A01210g	1544
gene-DEHA2A01232g	1208
gene-DEHA2A01254g	2881
gene-DEHA2A01276g	3645
gene-DEHA2A01298g	2932
gene-DEHA2A01320g	6
gene-DEHA2A01342g	4361
gene-DEHA2A01364g	56160
gene-DEHA2A01386g	10
gene-DEHA2A01408g	1273
gene-DEHA2A01430g	4154
gene-DEHA2A01452g	541
gene-DEHA2A01474g	8656
gene-DEHA2A01496g	2156
gene-DEHA2A01518g	1448
gene-DEHA2A01540g	3862
gene-DEHA2A01562g	1605
gene-DEHA2A01584g	1410
gene-DEHA2A01606g	3316
gene-DEHA2A01628g	12587
gene-DEHA2A01650g	4855
gene-DEHA2A01672g	1504
gene-DEHA2A01694g	2088
gene-DEHA2A01716g	3112
gene-DEHA2A01738g	3333
gene-DEHA2A01760g	5677
gene-DEHA2A01782g	4218
gene-DEHA2A01804g	11060
gene-DEHA2A01826g	11
gene-DEHA2A01848g	9216
gene-DEHA2A01870g	8954
gene-DEHA2A01892g	5650
gene-DEHA2A01914g	6210
gene-DEHA2A01936g	8329
gene-DEHA2A01958g	1057
gene-DEHA2A01980g	2191
gene-DEHA2A02002r	0
gene-DEHA2A02024g	3784
gene-DEHA2A02046g	2199
gene-DEHA2A02068g	7
gene-DEHA2A02090g	1060
gene-DEHA2A02112g	2683
gene-DEHA2A02134g	1200
gene-DEHA2A02156g	4113
gene-DEHA2A02178g	2956
gene-DEHA2A02200g	1970
gene-DEHA2A02222g	1307
gene-DEHA2A02244g	2841
gene-DEHA2A02266g	5555
gene-DEHA2A02288g	1553
gene-DEHA2A02310g	2458
gene-DEHA2A02332g	2032
gene-DEHA2A02354g	4879
gene-DEHA2A02376g	8683
gene-DEHA2A02398g	1519
gene-DEHA2A02420g	220
gene-DEHA2A02442g	4746
gene-DEHA2A02464g	5430
gene-DEHA2A02486g	10557
gene-DEHA2A02508g	5256
gene-DEHA2A02530g	2440
gene-DEHA2A02552g	2310
gene-DEHA2A02574g	5286
gene-DEHA2A02596g	3838
gene-DEHA2A02618g	341
gene-DEHA2A02640g	792
gene-DEHA2A02662g	808
gene-DEHA2A02684g	1082
gene-DEHA2A02706g	3331
gene-DEHA2A02728g	2232
gene-DEHA2A02750g	3875
gene-DEHA2A02772g	989
gene-DEHA2A02794g	1128
gene-DEHA2A02816g	17
gene-DEHA2A02838g	5947
gene-DEHA2A02860g	9239
gene-DEHA2A02882g	9067
gene-DEHA2A02904g	6876
gene-DEHA2A02926g	17602
gene-DEHA2A02948g	10
gene-DEHA2A02970g	504
gene-DEHA2A02992g	13465
gene-DEHA2A03014g	9908
gene-DEHA2A03036g	2790
gene-DEHA2A03058g	1221
gene-DEHA2A03080g	4975
gene-DEHA2A03102g	6453
gene-DEHA2A03124g	3482
gene-DEHA2A03146g	7881
gene-DEHA2A03168g	1787
gene-DEHA2A03190g	2975
gene-DEHA2A03212g	7949
gene-DEHA2A03234g	4179
gene-DEHA2A03256g	1546
gene-DEHA2A03278g	4074
gene-DEHA2A03300g	5665
gene-DEHA2A03322g	13503
gene-DEHA2A03344g	610
gene-DEHA2A03366g	1784
gene-DEHA2A03388g	3092
gene-DEHA2A03410g	15
gene-DEHA2A03432g	2525
gene-DEHA2A03454g	3230
gene-DEHA2A03476g	8546
gene-DEHA2A03498g	18413
gene-DEHA2A03520g	3234
gene-DEHA2A03542g	6171
gene-DEHA2A03564g	5136
gene-DEHA2A03586g	2064
gene-DEHA2A03608g	4204
gene-DEHA2A03630g	3629
gene-DEHA2A03652g	8558
gene-DEHA2A03674g	6972
gene-DEHA2A03696g	16395
gene-DEHA2A03718g	3761
gene-DEHA2A03740g	859
gene-DEHA2A03762r	4
gene-DEHA2A03784g	34
gene-DEHA2A03806g	2928
gene-DEHA2A04334g	4013
gene-DEHA2A04356g	5551
gene-DEHA2A04378g	2894
gene-DEHA2A04400g	1219
gene-DEHA2A04422g	427
gene-DEHA2A04444g	1962
gene-DEHA2A04466g	2243
gene-DEHA2A04488g	8275
gene-DEHA2A04510g	2405
gene-DEHA2A04532g	3636
gene-DEHA2A04554g	5613
gene-DEHA2A04576g	2796
gene-DEHA2A04598r	0
gene-DEHA2A04620g	5653
gene-DEHA2A04642g	3198
gene-DEHA2A04664g	2224
gene-DEHA2A04686g	912
gene-DEHA2A04708g	3904
gene-DEHA2A04730g	1092
gene-DEHA2A04752g	2785
gene-DEHA2A04774g	10960
gene-DEHA2A04796g	2525
