Geneid	RNA STAR on 1MKCl3: mapped.bam
gene-DEHA2A00110g	71
gene-DEHA2A00132g	30
gene-DEHA2A00154g	24301
gene-DEHA2A00176g	102
gene-DEHA2A00198g	519
gene-DEHA2A00220g	561
gene-DEHA2A00242g	2262
gene-DEHA2A00264g	1037
gene-DEHA2A00286g	2230
gene-DEHA2A00308g	387
gene-DEHA2A00330g	24
gene-DEHA2A00352g	1175
gene-DEHA2A00374g	701
gene-DEHA2A00396g	124
gene-DEHA2A00418g	1014
gene-DEHA2A00440g	3708
gene-DEHA2A00462g	1416
gene-DEHA2A00484g	1507
gene-DEHA2A00506g	8273
gene-DEHA2A00528g	792
gene-DEHA2A00550g	4567
gene-DEHA2A00572g	372
gene-DEHA2A00594g	4021
gene-DEHA2A00616g	2130
gene-DEHA2A00638g	928
gene-DEHA2A00660g	739
gene-DEHA2A00682g	488
gene-DEHA2A00704g	946
gene-DEHA2A00726g	3540
gene-DEHA2A00748g	972
gene-DEHA2A00770g	2537
gene-DEHA2A00792g	4544
gene-DEHA2A00814g	17282
gene-DEHA2A00836g	2020
gene-DEHA2A00858g	963
gene-DEHA2A00880g	7456
gene-DEHA2A00902g	1120
gene-DEHA2A00924r	4
gene-DEHA2A00946g	142
gene-DEHA2A00968g	587
gene-DEHA2A00990r	5
gene-DEHA2A01012g	831
gene-DEHA2A01034g	2563
gene-DEHA2A01056g	1106
gene-DEHA2A01078r	2
gene-DEHA2A01100g	11244
gene-DEHA2A01122g	1811
gene-DEHA2A01144g	3589
gene-DEHA2A01166g	2
gene-DEHA2A01188g	6
gene-DEHA2A01210g	1445
gene-DEHA2A01232g	1200
gene-DEHA2A01254g	3666
gene-DEHA2A01276g	4366
gene-DEHA2A01298g	3473
gene-DEHA2A01320g	11
gene-DEHA2A01342g	5047
gene-DEHA2A01364g	56037
gene-DEHA2A01386g	5
gene-DEHA2A01408g	2360
gene-DEHA2A01430g	13860
gene-DEHA2A01452g	643
gene-DEHA2A01474g	11195
gene-DEHA2A01496g	1896
gene-DEHA2A01518g	1249
gene-DEHA2A01540g	4015
gene-DEHA2A01562g	2116
gene-DEHA2A01584g	1634
gene-DEHA2A01606g	4072
gene-DEHA2A01628g	13720
gene-DEHA2A01650g	3081
gene-DEHA2A01672g	2047
gene-DEHA2A01694g	2881
gene-DEHA2A01716g	3682
gene-DEHA2A01738g	3957
gene-DEHA2A01760g	7696
gene-DEHA2A01782g	5418
gene-DEHA2A01804g	14252
gene-DEHA2A01826g	12
gene-DEHA2A01848g	12164
gene-DEHA2A01870g	9109
gene-DEHA2A01892g	6066
gene-DEHA2A01914g	7680
gene-DEHA2A01936g	9894
gene-DEHA2A01958g	1026
gene-DEHA2A01980g	3204
gene-DEHA2A02002r	1
gene-DEHA2A02024g	4835
gene-DEHA2A02046g	2981
gene-DEHA2A02068g	1
gene-DEHA2A02090g	363
gene-DEHA2A02112g	2632
gene-DEHA2A02134g	1242
gene-DEHA2A02156g	6344
gene-DEHA2A02178g	2320
gene-DEHA2A02200g	2311
gene-DEHA2A02222g	2082
gene-DEHA2A02244g	3148
gene-DEHA2A02266g	7924
gene-DEHA2A02288g	2080
gene-DEHA2A02310g	3721
gene-DEHA2A02332g	2362
gene-DEHA2A02354g	6471
gene-DEHA2A02376g	5195
gene-DEHA2A02398g	2762
gene-DEHA2A02420g	489
gene-DEHA2A02442g	6229
gene-DEHA2A02464g	5876
gene-DEHA2A02486g	10531
gene-DEHA2A02508g	5263
gene-DEHA2A02530g	2403
gene-DEHA2A02552g	2910
gene-DEHA2A02574g	5242
gene-DEHA2A02596g	5156
gene-DEHA2A02618g	312
gene-DEHA2A02640g	790
gene-DEHA2A02662g	739
gene-DEHA2A02684g	830
gene-DEHA2A02706g	2628
gene-DEHA2A02728g	1757
gene-DEHA2A02750g	4294
gene-DEHA2A02772g	826
gene-DEHA2A02794g	1577
gene-DEHA2A02816g	9
gene-DEHA2A02838g	5274
gene-DEHA2A02860g	11031
gene-DEHA2A02882g	8744
gene-DEHA2A02904g	8648
gene-DEHA2A02926g	17347
gene-DEHA2A02948g	14
gene-DEHA2A02970g	3020
gene-DEHA2A02992g	16585
gene-DEHA2A03014g	6862
gene-DEHA2A03036g	3206
gene-DEHA2A03058g	1179
gene-DEHA2A03080g	7535
gene-DEHA2A03102g	8787
gene-DEHA2A03124g	3962
gene-DEHA2A03146g	9450
gene-DEHA2A03168g	2043
gene-DEHA2A03190g	3195
gene-DEHA2A03212g	13128
gene-DEHA2A03234g	4680
gene-DEHA2A03256g	4344
gene-DEHA2A03278g	5184
gene-DEHA2A03300g	6535
gene-DEHA2A03322g	16630
gene-DEHA2A03344g	606
gene-DEHA2A03366g	2312
gene-DEHA2A03388g	4060
gene-DEHA2A03410g	6
gene-DEHA2A03432g	1295
gene-DEHA2A03454g	3494
gene-DEHA2A03476g	8660
gene-DEHA2A03498g	17390
gene-DEHA2A03520g	4182
gene-DEHA2A03542g	10766
gene-DEHA2A03564g	895
gene-DEHA2A03586g	2217
gene-DEHA2A03608g	5341
gene-DEHA2A03630g	3615
gene-DEHA2A03652g	9727
gene-DEHA2A03674g	10752
gene-DEHA2A03696g	12260
gene-DEHA2A03718g	3809
gene-DEHA2A03740g	1150
gene-DEHA2A03762r	4
gene-DEHA2A03784g	25
gene-DEHA2A03806g	47514
gene-DEHA2A04334g	5411
gene-DEHA2A04356g	5082
gene-DEHA2A04378g	3646
gene-DEHA2A04400g	1854
gene-DEHA2A04422g	355
gene-DEHA2A04444g	3067
gene-DEHA2A04466g	2485
gene-DEHA2A04488g	5863
gene-DEHA2A04510g	2337
gene-DEHA2A04532g	3735
gene-DEHA2A04554g	6179
gene-DEHA2A04576g	3747
gene-DEHA2A04598r	0
gene-DEHA2A04620g	8066
gene-DEHA2A04642g	4856
gene-DEHA2A04664g	3402
gene-DEHA2A04686g	1182
gene-DEHA2A04708g	3406
gene-DEHA2A04730g	1312
gene-DEHA2A04752g	2584
gene-DEHA2A04774g	8799
gene-DEHA2A04796g	1308
gene-DEHA2A04818g	3869
gene-DEHA2A04840g	1870
gene-DEHA2A04862g	7878
gene-DEHA2A04884g	3696
gene-DEHA2A04906r	0
gene-DEHA2A04928g	5250
gene-DEHA2A04950g	59
gene-DEHA2A04972g	4422
gene-DEHA2A04994g	3763
gene-DEHA2A05016g	2506
gene-DEHA2A05038g	4632
gene-DEHA2A05060g	2473
gene-DEHA2A05082g	3496
gene-DEHA2A05104g	8472
gene-DEHA2A05126g	3829
gene-DEHA2A05148g	3531
gene-DEHA2A05170g	3991
gene-DEHA2A05192g	8162
gene-DEHA2A05214g	1252
gene-DEHA2A05236g	9661
gene-DEHA2A05258g	2006
gene-DEHA2A05280g	3304
gene-DEHA2A05302g	1771
gene-DEHA2A05324g	5359
gene-DEHA2A05346g	2195
gene-DEHA2A05368g	5886
gene-DEHA2A05390g	5313
gene-DEHA2A05412g	2843
gene-DEHA2A05434g	4682
gene-DEHA2A05456g	1365
gene-DEHA2A05478g	1935
gene-DEHA2A05500g	25739
gene-DEHA2A05522g	143
gene-DEHA2A05544g	210
gene-DEHA2A05566g	6383
gene-DEHA2A05588g	1340
gene-DEHA2A05610g	1048
gene-DEHA2A05632g	2442
gene-DEHA2A05654g	27539
gene-DEHA2A05676g	3885
gene-DEHA2A05698g	1288
gene-DEHA2A05720g	4780
gene-DEHA2A05742g	6828
gene-DEHA2A05764g	4869
gene-DEHA2A05786g	3202
gene-DEHA2A05808g	1186
gene-DEHA2A05830g	14642
gene-DEHA2A05852g	5983
gene-DEHA2A05874g	3400
gene-DEHA2A05896g	835
gene-DEHA2A05918g	4368
gene-DEHA2A05940g	2205
gene-DEHA2A05962g	7729
gene-DEHA2A05984g	3206
gene-DEHA2A06006g	5254
gene-DEHA2A06028g	4994
gene-DEHA2A06050g	2201
gene-DEHA2A06072g	1180
gene-DEHA2A06094g	3544
gene-DEHA2A06116g	366
gene-DEHA2A06138g	9
gene-DEHA2A06160g	1102
gene-DEHA2A06182g	2693
gene-DEHA2A06204g	727
gene-DEHA2A06226g	2081
gene-DEHA2A06248g	920
gene-DEHA2A06270g	2359
gene-DEHA2A06292g	1071
gene-DEHA2A06314g	891
gene-DEHA2A06336g	2031
gene-DEHA2A06358g	3441
gene-DEHA2A06380g	11209
gene-DEHA2A06402g	918
gene-DEHA2A06424g	6780
gene-DEHA2A06446g	5357
gene-DEHA2A06468r	1
gene-DEHA2A06490g	4445
gene-DEHA2A06512g	8400
gene-DEHA2A06534g	7204
gene-DEHA2A06556g	1239
gene-DEHA2A06578g	2349
gene-DEHA2A06600g	3496
gene-DEHA2A06622g	191
gene-DEHA2A06644g	1171
gene-DEHA2A06666g	5641
gene-DEHA2A06688g	70
gene-DEHA2A06710g	5442
gene-DEHA2A06732g	9489
gene-DEHA2A06754g	3853
gene-DEHA2A06776g	23966
gene-DEHA2A06798g	7362
gene-DEHA2A06820g	3803
gene-DEHA2A06842g	30
gene-DEHA2A06864g	3429
gene-DEHA2A06886g	5848
gene-DEHA2A06908g	4224
gene-DEHA2A06930g	5132
gene-DEHA2A06952g	3981
gene-DEHA2A06974g	3775
gene-DEHA2A06996g	1251
gene-DEHA2A07018g	1489
gene-DEHA2A07040g	4667
gene-DEHA2A07062g	483
gene-DEHA2A07084g	2560
gene-DEHA2A07106g	11292
gene-DEHA2A07128g	17107
gene-DEHA2A07150g	3423
gene-DEHA2A07172g	4901
gene-DEHA2A07194g	598
gene-DEHA2A07216g	2843
