Geneid	RNA STAR on 1MNaCl2: mapped.bam
gene-DEHA2A00110g	75
gene-DEHA2A00132g	53
gene-DEHA2A00154g	20211
gene-DEHA2A00176g	75
gene-DEHA2A00198g	506
gene-DEHA2A00220g	574
gene-DEHA2A00242g	1675
gene-DEHA2A00264g	836
gene-DEHA2A00286g	2212
gene-DEHA2A00308g	313
gene-DEHA2A00330g	45
gene-DEHA2A00352g	1459
gene-DEHA2A00374g	447
gene-DEHA2A00396g	93
gene-DEHA2A00418g	786
gene-DEHA2A00440g	3015
gene-DEHA2A00462g	1034
gene-DEHA2A00484g	1339
gene-DEHA2A00506g	7438
gene-DEHA2A00528g	744
gene-DEHA2A00550g	3094
gene-DEHA2A00572g	290
gene-DEHA2A00594g	3143
gene-DEHA2A00616g	2377
gene-DEHA2A00638g	904
gene-DEHA2A00660g	832
gene-DEHA2A00682g	645
gene-DEHA2A00704g	579
gene-DEHA2A00726g	3668
gene-DEHA2A00748g	1492
gene-DEHA2A00770g	2065
gene-DEHA2A00792g	4745
gene-DEHA2A00814g	15431
gene-DEHA2A00836g	1511
gene-DEHA2A00858g	878
gene-DEHA2A00880g	9310
gene-DEHA2A00902g	1010
gene-DEHA2A00924r	5
gene-DEHA2A00946g	159
gene-DEHA2A00968g	422
gene-DEHA2A00990r	10
gene-DEHA2A01012g	797
gene-DEHA2A01034g	1872
gene-DEHA2A01056g	981
gene-DEHA2A01078r	0
gene-DEHA2A01100g	11252
gene-DEHA2A01122g	1341
gene-DEHA2A01144g	3965
gene-DEHA2A01166g	3
gene-DEHA2A01188g	2
gene-DEHA2A01210g	1049
gene-DEHA2A01232g	1763
gene-DEHA2A01254g	3236
gene-DEHA2A01276g	4186
gene-DEHA2A01298g	2589
gene-DEHA2A01320g	13
gene-DEHA2A01342g	4887
gene-DEHA2A01364g	48920
gene-DEHA2A01386g	10
gene-DEHA2A01408g	2628
gene-DEHA2A01430g	10183
gene-DEHA2A01452g	439
gene-DEHA2A01474g	11571
gene-DEHA2A01496g	1761
gene-DEHA2A01518g	907
gene-DEHA2A01540g	3786
gene-DEHA2A01562g	2128
gene-DEHA2A01584g	1351
gene-DEHA2A01606g	3893
gene-DEHA2A01628g	12205
gene-DEHA2A01650g	3398
gene-DEHA2A01672g	1553
gene-DEHA2A01694g	2412
gene-DEHA2A01716g	3303
gene-DEHA2A01738g	3095
gene-DEHA2A01760g	5655
gene-DEHA2A01782g	4557
gene-DEHA2A01804g	11134
gene-DEHA2A01826g	15
gene-DEHA2A01848g	10370
gene-DEHA2A01870g	7582
gene-DEHA2A01892g	5275
gene-DEHA2A01914g	7971
gene-DEHA2A01936g	10411
gene-DEHA2A01958g	806
gene-DEHA2A01980g	3060
gene-DEHA2A02002r	0
gene-DEHA2A02024g	4641
gene-DEHA2A02046g	2646
gene-DEHA2A02068g	2
gene-DEHA2A02090g	157
gene-DEHA2A02112g	2105
gene-DEHA2A02134g	1325
gene-DEHA2A02156g	5551
gene-DEHA2A02178g	1956
gene-DEHA2A02200g	2301
gene-DEHA2A02222g	1893
gene-DEHA2A02244g	2816
gene-DEHA2A02266g	6503
gene-DEHA2A02288g	1773
gene-DEHA2A02310g	4212
gene-DEHA2A02332g	1521
gene-DEHA2A02354g	4584
gene-DEHA2A02376g	4540
gene-DEHA2A02398g	3633
gene-DEHA2A02420g	569
gene-DEHA2A02442g	7515
gene-DEHA2A02464g	5353
gene-DEHA2A02486g	7515
gene-DEHA2A02508g	5299
gene-DEHA2A02530g	1971
gene-DEHA2A02552g	2796
gene-DEHA2A02574g	5517
gene-DEHA2A02596g	4142
gene-DEHA2A02618g	291
gene-DEHA2A02640g	747
gene-DEHA2A02662g	715
gene-DEHA2A02684g	697
gene-DEHA2A02706g	2346
gene-DEHA2A02728g	1368
gene-DEHA2A02750g	3504
gene-DEHA2A02772g	914
gene-DEHA2A02794g	1413
gene-DEHA2A02816g	22
gene-DEHA2A02838g	6877
gene-DEHA2A02860g	10666
gene-DEHA2A02882g	9078
gene-DEHA2A02904g	8713
gene-DEHA2A02926g	15425
gene-DEHA2A02948g	6
gene-DEHA2A02970g	2526
gene-DEHA2A02992g	16330
gene-DEHA2A03014g	6185
gene-DEHA2A03036g	5347
gene-DEHA2A03058g	1085
gene-DEHA2A03080g	7485
gene-DEHA2A03102g	9526
gene-DEHA2A03124g	3821
gene-DEHA2A03146g	9884
gene-DEHA2A03168g	1336
gene-DEHA2A03190g	2938
gene-DEHA2A03212g	13965
gene-DEHA2A03234g	4773
gene-DEHA2A03256g	3522
gene-DEHA2A03278g	4411
gene-DEHA2A03300g	4182
gene-DEHA2A03322g	14342
gene-DEHA2A03344g	809
gene-DEHA2A03366g	2184
