ProteinID,Control1,Control4,Control5,KCl2,KCl3,KCl4,NaCl1,NaCl2,NaCl3
B5RSN5_0,0.0,7.636099522887622e-10,6.763721927662244e-10,0.0,0.0,0.0,0.0,0.0,0.0
B5RSN5_1,0.0,2.4204281678915196e-10,1.4965746109883889e-10,0.0,0.0,0.0,0.0,0.0,0.0
B5RSP3_0,3.6415426602240093e-10,2.4631794945988394e-10,2.3191388438198944e-10,1.6391514732785692e-10,1.6999377456498607e-10,9.27769013340404e-11,2.471059320006379e-10,2.593389546112997e-10,1.423074606255369e-10
B5RSP7_0,1.3355963981548757e-09,1.0382934536718078e-08,1.3738575712626267e-08,5.5710130143341466e-09,5.380814733361608e-09,1.9696218806560334e-09,9.778817520868608e-09,5.827026628889968e-09,7.554043811932929e-09
B5RSP7_1,1.988761044354257e-09,2.336550179904711e-09,3.635864380148534e-09,1.5350516081814599e-09,2.2322359379994544e-09,1.6006607313492419e-09,3.551854652452346e-09,2.4856874380142637e-09,2.601887961503762e-09
B5RSP7_2,0.0,2.2673758950661758e-10,2.447247557864027e-10,0.0,0.0,0.0,3.625128485246777e-10,0.0,3.5864690782574266e-10
B5RSP7_3,0.0,1.2194573052439855e-10,1.5397398588869217e-10,1.887316110305219e-10,4.677263144302621e-10,2.4408299207784413e-10,2.370508709647387e-10,0.0,1.8598654565106601e-10
B5RSP7_4,0.0,0.0,0.0,0.0,2.0472750177509992e-10,2.700994400324182e-10,3.2791407333493476e-10,0.0,0.0
B5RSP7_5,0.0,0.0,0.0,0.0,0.0,0.0,2.725788996719951e-10,0.0,2.8557382719539877e-10
B5RSP7_6,2.4485356592148125e-09,5.596280267729791e-10,7.48550567796771e-10,1.0272886979684668e-09,6.15287387283196e-10,7.395918333930838e-10,3.798427988558785e-10,6.138001905509792e-10,4.5138878357587286e-10
B5RSP7_7,4.1120676728056583e-10,6.101642777623763e-10,6.539430575220101e-10,1.1932595635725854e-09,3.039281534606406e-10,2.476183086977577e-10,1.7971466824822896e-10,3.2390714751755487e-10,2.1912195472227836e-10
B5RSP7_8,1.9694647443076816e-10,7.006532776548223e-11,1.1581425136369903e-10,1.1791641998418792e-10,6.156223212276564e-11,1.0868832241874439e-10,3.9798914223543674e-11,7.767564879825534e-11,4.865081060582893e-11
B5RSP7_9,0.0,8.172930233975979e-11,7.759027240087784e-11,1.6690484931109065e-10,2.978526558791582e-11,3.0778874391253756e-12,5.987568600923089e-12,2.6707077348193375e-11,9.349764946952825e-12
B5RSP7_10,0.0,1.486687581788504e-09,3.404469044851151e-09,4.113172520533542e-09,5.741943465907664e-09,6.956139147967276e-09,7.022792982815379e-09,6.46727109999652e-09,6.8898564573247105e-09
B5RSP7_11,0.0,1.749284021151574e-09,3.5361831077982446e-09,6.180892888261309e-09,3.945306358601882e-09,2.7276585824472204e-09,4.9388940939579e-09,5.263473060332255e-09,4.553719865244642e-09
B5RSP7_12,0.0,0.0,2.1069939976078973e-10,4.1758208727371333e-10,1.591540854884909e-10,1.7120627138718062e-10,2.9896625513512835e-10,2.711079670160391e-10,2.46612057129704e-10
B5RSP7_13,0.0,0.0,1.8927476309363061e-10,3.219272779631231e-10,1.516773679715789e-10,0.0,2.4323544612255436e-10,0.0,1.7599936158179942e-10
B5RSP7_14,0.0,1.235866979494813e-10,8.887815448453153e-11,9.424672644423286e-11,3.179020416197291e-11,0.0,4.3881095594070763e-11,8.947734839146023e-11,5.1405568482080726e-11
B5RSP7_15,0.0,7.46694215203798e-11,8.7619157033254e-11,0.0,0.0,0.0,0.0,7.502380380379752e-11,8.592911432681501e-11
B5RSP7_16,0.0,1.0486958987568763e-11,1.956982144358846e-10,1.1942950742497606e-11,5.380768924127517e-11,1.6712030103081654e-10,8.16785389615592e-11,2.990050740661619e-11,6.366942867198988e-11
B5RSP9_0,0.0,1.2784194556949514e-10,1.144560891336408e-10,3.0034062727825105e-10,1.0952165358026806e-10,1.0734023641499414e-10,1.7277458307511284e-10,2.0727660327085535e-10,9.599368817414147e-11
B5RSQ2_0,0.0,2.859867811632676e-10,4.6255030811507485e-10,0.0,0.0,0.0,0.0,0.0,0.0
