ProteinID	Control1
B5RSN5_B5RT49_B5RU73_Q6BJT8	0
B5RSN5_B5RT49_B5RU73_Q6BJT8	0
B5RSP3	207542.2656
B5RSP7	761195.8125
B5RSP7	1133453.625
B5RSP7	0
B5RSP7	0
B5RSP7	0
B5RSP7	0
B5RSP7	1395492.75
B5RSP7	234358.875
B5RSP7	112245.6094
B5RSP7	0
B5RSP7	0
B5RSP7	0
B5RSP7	0
B5RSP7	0
B5RSP7	0
B5RSP7	0
B5RSP7	0
B5RSP9	0
B5RSQ2	0
B5RSQ4	0
B5RSQ4	0
B5RSQ4	0
B5RSQ6	0
B5RSQ6	0
B5RSQ6	0
B5RSQ8	0
B5RSQ8	0
B5RSQ8	0
B5RSQ9	0
B5RSQ9	0
B5RSQ9	0
B5RSR4	0
B5RSR4	0
B5RSR4	0
B5RSR4	0
B5RSR4	0
B5RSR4	0
B5RSR4	0
B5RSR5	1151809.125
B5RSR5	0
B5RSR5	197509.3594
B5RSR5	0
B5RSR5	0
B5RSR5	0
B5RSR5	0
B5RSR5	0
B5RSR5	0
B5RSR5	0
B5RSR5	0
B5RSR8	0
B5RSR8	0
B5RSS2	0
B5RSS2	0
B5RSS2	0
B5RSS2	0
B5RSS2	0
B5RSS2	0
B5RSS4	0
B5RSS4	0
B5RSS5	17285868
B5RSS5	0
B5RSS5	0
B5RSS5	0
B5RSS5	0
B5RST1	2781713.5
B5RST1	745442.3125
B5RST1	0
B5RST1	0
B5RST1	0
B5RST1	0
B5RST1	0
B5RST1	0
B5RST1	0
B5RST2	0
B5RST2	0
B5RST7	975190.4375
B5RST7	0
B5RST7	0
B5RST9	0
B5RST9	0
B5RST9	0
B5RSU5	0
B5RSU5	0
B5RSU6	0
B5RSU6	0
B5RSU6	0
B5RSU6	0
B5RSU9	1081423.75
B5RSU9	0
B5RSU9	0
B5RSV4	0
B5RSV4	0
B5RSV4	0
B5RSV4	0
B5RSV5	0
B5RSV5	0
B5RSV5	0
B5RSV6	0
B5RSV6	0
B5RSV6	0
B5RSV6	0
B5RSV6	0
B5RSV6	0
B5RSW5	27858186
B5RSW5	2304628.25
B5RSW5	0
B5RSW5	2037607.5
B5RSW5	0
B5RSW5	0
B5RSW5	0
B5RSX5	0
B5RSX5	2391795.75
B5RSX5	0
B5RSX6	0
B5RSX6	0
B5RSX6	0
B5RSZ5	0
B5RSZ5	0
B5RT08	0
B5RT30	5299106
B5RT30	182174.6563
B5RT30	35559424
B5RT30	0
B5RT30	89974.40625
B5RT31	0
B5RT37	0
B5RT37	1476669.875
B5RT37	0
B5RT37	0
B5RT37	0
B5RT37	0
B5RT37	0
B5RT37	0
B5RT37	0
B5RT37	0
B5RT37	0
B5RT37	0
B5RT37	0
B5RT37	0
B5RT37	0
B5RT37	0
B5RT39	0
B5RT39	0
B5RT41	594892.6875
B5RT42	0
B5RT42	0
B5RT48	0
B5RT48	0
B5RT48	0
B5RT48	0
B5RT48	0
B5RT61	0
B5RT63	7044470.5
B5RT63	0
B5RT63	0
B5RT63	0
B5RT63	0
B5RT65	0
B5RT65	0
