ProteinID	KCl3
B5RSN5_B5RT49_B5RU73_Q6BJT8	0
B5RSN5_B5RT49_B5RU73_Q6BJT8	0
B5RSP3	10679.98828
B5RSP7	338053.7813
B5RSP7	140241.9219
B5RSP7	0
B5RSP7	29385.26172
B5RSP7	12862.16113
B5RSP7	0
B5RSP7	38655.89844
B5RSP7	19094.51758
B5RSP7	3867.694092
B5RSP7	1871.281982
B5RSP7	360741.9688
B5RSP7	247866.875
B5RSP7	9998.976563
B5RSP7	9529.246094
B5RSP7	1997.243774
B5RSP7	0
B5RSP7	3380.509033
B5RSP9	6880.78125
B5RSQ2	0
B5RSQ4	28502.02539
B5RSQ4	0
B5RSQ4	14690.75488
B5RSQ6	0
B5RSQ6	0
B5RSQ6	0
B5RSQ8	0
B5RSQ8	0
B5RSQ8	145815.4844
B5RSQ9	11603.80957
B5RSQ9	5706.853027
B5RSQ9	4180.847168
B5RSR4	0
B5RSR4	44004.6875
B5RSR4	0
B5RSR4	0
B5RSR4	0
B5RSR4	2619.356201
B5RSR4	0
B5RSR5	24653.76953
B5RSR5	1146.689453
B5RSR5	15527.62793
B5RSR5	19016.90625
B5RSR5	0
B5RSR5	0
B5RSR5	0
B5RSR5	0
B5RSR5	71750.57813
B5RSR5	23330.17969
B5RSR5	0
B5RSR8	23357.56445
B5RSR8	10647.0166
B5RSS2	0
B5RSS2	0
B5RSS2	0
B5RSS2	0
B5RSS2	742.7714844
B5RSS2	6569.666016
B5RSS4	0
B5RSS4	0
B5RSS5	0
B5RSS5	1083079.625
B5RSS5	108937.8359
B5RSS5	6128.831543
B5RSS5	3053.976807
B5RST1	233979.5313
B5RST1	18890.46094
B5RST1	0
B5RST1	0
B5RST1	94786.55469
B5RST1	0
B5RST1	0
B5RST1	21128.37305
B5RST1	3985.417969
B5RST2	64729.22266
B5RST2	27779.61914
B5RST7	0
B5RST7	0
B5RST7	0
B5RST9	0
B5RST9	0
B5RST9	0
B5RSU5	141802.625
B5RSU5	13198.02734
B5RSU6	0
B5RSU6	85776.89844
B5RSU6	13854.7041
B5RSU6	14381.10938
B5RSU9	30951.63867
B5RSU9	0
B5RSU9	2150.623535
B5RSV4	15102.5332
B5RSV4	7238.111328
B5RSV4	0
B5RSV4	13970.93066
B5RSV5	77108.91406
B5RSV5	0
B5RSV5	0
B5RSV6	18097.55469
B5RSV6	20084.98047
B5RSV6	10360.53711
B5RSV6	0
B5RSV6	9851.974609
B5RSV6	3456.523438
B5RSW5	753950.5625
B5RSW5	29465.2207
B5RSW5	16553.83008
B5RSW5	0
B5RSW5	315904.0625
B5RSW5	49469.65234
B5RSW5	10095.49023
B5RSX5	208991.7031
B5RSX5	0
B5RSX5	0
B5RSX6	114707.4375
B5RSX6	15372.74609
B5RSX6	0
B5RSZ5	0
B5RSZ5	0
B5RT08	6489.478516
B5RT30	434152.8125
B5RT30	25974.64453
B5RT30	1003846.938
B5RT30	0
B5RT30	1358.696289
B5RT31	38932.33203
B5RT37	2761.662109
B5RT37	127742.3516
B5RT37	42455.83594
B5RT37	48245.68359
B5RT37	0
