ProteinID	NaCl3
B5RSN5_B5RT49_B5RU73_Q6BJT8	0
B5RSN5_B5RT49_B5RU73_Q6BJT8	0
B5RSP3	8716.538086
B5RSP7	462696.125
B5RSP7	159369.4063
B5RSP7	21967.64258
B5RSP7	11391.94531
B5RSP7	0
B5RSP7	17491.81055
B5RSP7	27648.2168
B5RSP7	13421.53711
B5RSP7	2979.932617
B5RSP7	572.6866455
B5RSP7	422013.6875
B5RSP7	278921.9375
B5RSP7	15105.3457
B5RSP7	10780.21582
B5RSP7	3148.665527
B5RSP7	5263.282715
B5RSP7	3899.844727
B5RSP9	5879.752441
B5RSQ2	0
B5RSQ4	21882.21094
B5RSQ4	0
B5RSQ4	12061.28027
B5RSQ6	0
B5RSQ6	0
B5RSQ6	0
B5RSQ8	0
B5RSQ8	132943.5313
B5RSQ8	0
B5RSQ9	8698.620117
B5RSQ9	3210.714844
B5RSQ9	2492.340576
B5RSR4	41865.84766
B5RSR4	0
B5RSR4	15673.58105
B5RSR4	0
B5RSR4	0
B5RSR4	3721.220215
B5RSR4	1704.129272
B5RSR5	19447.74609
B5RSR5	2215.463623
B5RSR5	16466.75
B5RSR5	18694.61914
B5RSR5	5245.439453
B5RSR5	0
B5RSR5	0
B5RSR5	0
B5RSR5	0
B5RSR5	36038.51172
B5RSR5	8567.053711
B5RSR8	47929.48828
B5RSR8	16205.95313
B5RSS2	0
B5RSS2	0
B5RSS2	0
B5RSS2	0
B5RSS2	292.7842712
B5RSS2	0
B5RSS4	0
B5RSS4	0
B5RSS5	0
B5RSS5	1344056.25
B5RSS5	125854.2109
B5RSS5	4195.033691
B5RSS5	3395.075928
B5RST1	277019.0625
B5RST1	18233.42773
B5RST1	234137.7969
B5RST1	157342.6094
B5RST1	0
B5RST1	0
B5RST1	7879.633789
B5RST1	30552.48633
B5RST1	3058.132813
B5RST2	51709.86719
B5RST2	18275.94727
B5RST7	0
B5RST7	0
B5RST7	2808.994873
B5RST9	0
B5RST9	0
B5RST9	18364.35547
B5RSU5	121243.3203
B5RSU5	8939.382813
B5RSU6	39091.17969
B5RSU6	0
B5RSU6	5041.656738
B5RSU6	11121.19336
B5RSU9	38989.27734
B5RSU9	0
B5RSU9	3283.36792
B5RSV4	16062.47168
B5RSV4	5991.622559
B5RSV4	3366.718262
B5RSV4	10551.18359
B5RSV5	74087.75
B5RSV5	9404.24707
B5RSV5	0
B5RSV6	13601.0918
B5RSV6	8812.662109
B5RSV6	9244.910156
B5RSV6	0
B5RSV6	10587.36035
B5RSV6	2585.227295
B5RSW5	906011.1875
B5RSW5	24026.67578
B5RSW5	21856.34961
B5RSW5	0
B5RSW5	286112.3125
B5RSW5	53597.06641
B5RSW5	27692.74609
B5RSX5	215484.2031
B5RSX5	0
B5RSX5	0
B5RSX6	117395.8281
B5RSX6	18804.67383
B5RSX6	3719.85083
B5RSZ5	0
B5RSZ5	0
B5RT08	6318.773926
B5RT30	1160815.25
B5RT30	44701.06641
B5RT30	2455574
B5RT30	17966.51367
B5RT30	5993.523926
B5RT31	16676.17578
B5RT37	0
