ProteinID	Control5
A9RAG1	23748.91797
A9RAH5	91038.96094
B5RSM9	406781.0625
B5RSP1	24930.5293
B5RSP3	17438.26953
B5RSP4	62202.90625
B5RSP5	266271
B5RSP7	156900.625
B5RSP8	12496.42578
B5RSP9	478505.9063
B5RSQ2	19022.64063
B5RSQ3	136030.2188
B5RSQ4	386354
B5RSQ6	67036.09375
B5RSQ7	22953.49414
B5RSQ8	48155.8125
B5RSR0	96825.69531
B5RSR1	14287.65332
B5RSR3	36776.99609
B5RSR4	768131.4375
B5RSR5	60538.87109
B5RSR6	46514.64063
B5RSR7	0
B5RSR8	50413.07031
B5RSS0	198599.0156
B5RSS1	5340.708984
B5RSS2	37947.52344
B5RSS3	192030.7344
B5RSS5	44150.28906
B5RSS6	16241.48047
B5RSS7	34182.44922
B5RST1	73429.33594
B5RST4	20488.99609
B5RST5	5069.299316
B5RST6	70579.50781
B5RST7	252323.9844
B5RST8	59980.58203
B5RST9	2106.755371
B5RSU1	105157.3828
B5RSU2	15774.74023
B5RSU3	48706.89453
B5RSU5	28244.83789
B5RSU6	4203.355469
B5RSU8	56592.35547
B5RSV2	12848.74414
B5RSV5	1106904.875
B5RSV6	56991.53125
B5RSV7	13334.63574
B5RSV9	277929.5
B5RSW0	44878.98438
B5RSW2	37507.00391
B5RSW3	100662.1172
B5RSW5	109958.7578
B5RSW7	37176.78516
B5RSW8	35637.69531
B5RSX0	65107.60938
B5RSX2	45856.11328
B5RSX5	44734.125
B5RSX6	645833.25
B5RSY0	12775.06445
B5RSY1	163772.6094
B5RSY3	3406805.75
B5RSY7	569904.25
B5RSZ0	16933.05664
B5RSZ2	537069.8125
B5RSZ4	136095.8438
B5RSZ6	0
B5RSZ7	454057.375
B5RSZ8	84714.07813
B5RT07	10626.75781
B5RT08	889520.0625
B5RT09	127488.0234
B5RT10	48999.38281
B5RT11	39627.83984
B5RT18	58481.88672
B5RT19	8591.714844
B5RT30	222162.2969
B5RT32	7757.362305
B5RT33	4116.979004
B5RT37	93958.14063
B5RT40	110120.5781
B5RT41	39371.37109
B5RT43	38325.20313
B5RT44	16918.25
B5RT45	35566.125
B5RT46	274845.5313
B5RT48	73600.10156
B5RT58	14107.28418
B5RT59	243965.1406
B5RT63	27509.52344
B5RT64	119673.1406
B5RT65	373757.1563
B5RT66	36097.83984
B5RT67	1408133.75
B5RT68	323997.2813
B5RT69	166076.1719
B5RT72	12197.81641
B5RT73	857547.5625
B5RT74	1332634.875
B5RT75	82169.96875
B5RT77	950731.9375
B5RT79	62822.02344
B5RT80	121817.5234
