ProteinID	KCl4
A9RAG1	5921.660645
A9RAH5	44673.66797
B5RSM9	283788.1875
B5RSP1	7516.210938
B5RSP3	35365.81641
B5RSP4	46047.54688
B5RSP5	127483.5625
B5RSP7	115701.3984
B5RSP8	14879.98926
B5RSP9	352906
B5RSQ2	1663.240356
B5RSQ3	91502.46094
B5RSQ4	430678.1563
B5RSQ6	27469.00195
B5RSQ7	33114.44141
B5RSQ8	45615.38672
B5RSR0	40196.67578
B5RSR1	16272.68457
B5RSR3	12822.02051
B5RSR4	1637911.875
B5RSR5	73831.53906
B5RSR6	76646.76563
B5RSR7	4217.132813
B5RSR8	88067.64844
B5RSS0	93564.85156
B5RSS1	0
B5RSS2	30479.6582
B5RSS3	183938.1406
B5RSS5	57998.14453
B5RSS6	25135.26953
B5RSS7	30847.39258
B5RST1	21815.44336
B5RST4	0
B5RST5	6719.145996
B5RST6	73324.59375
B5RST7	414423.2188
B5RST8	5573.208984
B5RST9	3816.121582
B5RSU1	69133.11719
B5RSU2	13200.7373
B5RSU3	28520.10156
B5RSU5	29958.99609
B5RSU6	9947.370117
B5RSU8	21967.91406
B5RSV2	8477.776367
B5RSV5	1053436.875
B5RSV6	43189.85938
B5RSV7	20204.52148
B5RSV9	399578.125
B5RSW0	42833.4375
B5RSW2	36071.00781
B5RSW3	101430.25
B5RSW5	27583.14844
B5RSW7	35080.5
B5RSW8	37599.26563
B5RSX0	24825.30664
B5RSX2	7305.216797
B5RSX5	10086.70801
B5RSX6	305238.0625
B5RSY0	12986.0166
B5RSY1	150792.2969
B5RSY3	7110612.5
B5RSY7	418629.6563
B5RSZ0	7589.250977
B5RSZ2	137110.5156
B5RSZ4	88451.60938
B5RSZ6	4949.661133
B5RSZ7	531340.875
B5RSZ8	64464.61328
B5RT07	5901.546875
B5RT08	785395.125
B5RT09	136486.7188
B5RT10	50619.64844
B5RT11	106952.0313
B5RT18	31057.16602
B5RT19	0
B5RT30	56656.18359
B5RT32	13939.09766
B5RT33	5258.462402
B5RT37	67696.72656
B5RT40	75116.30469
B5RT41	28317.57422
B5RT43	9899.711914
B5RT44	11112.54785
B5RT45	15456.3877
B5RT46	183206.2344
B5RT48	72171.76563
B5RT58	10767.83887
B5RT59	175348.8125
B5RT63	3848.439941
B5RT64	126725.8984
B5RT65	290189.9688
B5RT66	3085.841064
B5RT67	1113483.75
B5RT68	231920.2969
B5RT69	162152.8438
B5RT72	94013.17969
B5RT73	1172964.375
B5RT74	1156345.875
B5RT75	91948.67188
B5RT77	424191.625
B5RT79	30195.71484
B5RT80	50770.32031
B5RT81	0
B5RT82	411944.4688
B5RT83	477968.0313
B5RT84	809524.9375
B5RT85	10321.99023
B5RT86	8198.287109
B5RT88	58080.4375
B5RT90	10319.78418
B5RT91	27859.72852
B5RT93	0
B5RT94	16904.2168
B5RT96	162231
B5RT97	220072.1875
B5RT99	163875.6719
B5RTA0	0
B5RTA3	37770.91406
B5RTA6	104096.3984
B5RTA7	210880.2656
B5RTA9	1326.640991
B5RTB0	142842.0625
B5RTB4	28089.59961
B5RTB5	33299.88672
B5RTB6	27806.35938
B5RTB7	70619.86719
B5RTB9	105066.9844
B5RTC0	3519.326416
B5RTC3	2113.078125
B5RTC6	53573.3125
B5RTC7	813133.625
B5RTD0	9514.945313
B5RTD2	3818.340332
B5RTE0	58875.55078
B5RTE2	23312.07422
B5RTE4	9840.292969
B5RTE7	48042.14063
B5RTF0	34277.42969
B5RTF3	49857.53516
B5RTF4	378760.875
B5RTF6	50940.67578
B5RTF8	11699.79492
B5RTF9	2395.281494
B5RTG5	136700.5313
B5RTG8	17833.07227
B5RTH1	94321.35938
B5RTH6	1283143.625
B5RTI1	748194.75
B5RTI3	52416.93359
B5RTI8	347808.8125
B5RTI9	171834.9688
B5RTJ2	38098.67188
B5RTJ3	29233.40234
B5RTJ4	29539.50781
B5RTJ6	11170.13184
B5RTJ7	19328.94727
B5RTJ8	572743.125
B5RTJ9	47426.69531
B5RTK0	129277.1641
B5RTK1	330475.3125
B5RTK2	2877.994629
B5RTK3	125523.3359
B5RTK4	75320.96094
B5RTK8	827645.1875
B5RTL0	30642.85742
B5RTL1	36677.24609
B5RTL2	67227.64063
B5RTL5	122756.9219
B5RTL6	156809.7188
B5RTL7	20815.07031
B5RTL9	29520.39648
B5RTM0	13122.70898
B5RTM1	21677.87891
B5RTM2	465308.0938
B5RTM3	121668.2188
B5RTM5	76247.39063
B5RTM7	86421.8125
B5RTM8	30524.86523
B5RTM9	21201.19336
B5RTP6	24860.2832
B5RTQ2	161945.7656
