ProteinID	NaCl1
A9RAG1	18731.6582
A9RAH5	115084.9297
B5RSM9	323429.0625
B5RSP1	25389.25781
B5RSP3	42202.92578
B5RSP4	45497.14453
B5RSP5	342829.0313
B5RSP7	153252.6875
B5RSP8	77337.86719
B5RSP9	399017.7188
B5RSQ2	0
B5RSQ3	102456.5781
B5RSQ4	611193.9375
B5RSQ6	49379.03516
B5RSQ7	36850.79688
B5RSQ8	35926.90234
B5RSR0	100057.0391
B5RSR1	13831.2168
B5RSR3	33416.14844
B5RSR4	918161.625
B5RSR5	52339.45313
B5RSR6	92014.14063
B5RSR7	5609.443848
B5RSR8	104631.8828
B5RSS0	142499.8438
B5RSS1	3746.681641
B5RSS2	39259.56641
B5RSS3	248694.6094
B5RSS5	36932.46875
B5RSS6	28599.95703
B5RSS7	49557.57031
B5RST1	63182.60938
B5RST4	19316.88086
B5RST5	9244.886719
B5RST6	64658.28125
B5RST7	533069.1875
B5RST8	52930.21875
B5RST9	2933.492432
B5RSU1	97779.15625
B5RSU2	15509.31445
B5RSU3	43980.88281
B5RSU5	36413.35156
B5RSU6	3197.929199
B5RSU8	43750.07813
B5RSV2	11556.84668
B5RSV5	1121418.75
B5RSV6	40238.1875
B5RSV7	14265.63867
B5RSV9	395311.8125
B5RSW0	49585.63281
B5RSW2	47311.56641
B5RSW3	85073.60156
B5RSW5	62995.9375
B5RSW7	66585.80469
B5RSW8	39083.47656
B5RSX0	34743.02344
B5RSX2	23586.96484
B5RSX5	46126.55859
B5RSX6	524538.5
B5RSY0	23809.62305
B5RSY1	245212.3125
B5RSY3	6436259
B5RSY7	585990.5
B5RSZ0	14193.81348
B5RSZ2	306849.125
B5RSZ4	158543.7344
B5RSZ6	1825.551025
B5RSZ7	419426.6875
B5RSZ8	61659.88672
B5RT07	4238.323242
B5RT08	755653.9375
B5RT09	206383.3438
B5RT10	55354.35938
B5RT11	111955.7656
B5RT18	38530.00781
B5RT19	12339.86035
B5RT30	213718.7969
B5RT32	9332.091797
B5RT33	1645.904663
B5RT37	68761.04688
B5RT40	110935.9297
B5RT41	40486.96484
B5RT43	28691.73828
B5RT44	12898.16602
B5RT45	35999.11328
B5RT46	230805.2969
B5RT48	64991.38281
B5RT58	18015.99414
