CGD:DEHA2D11418g	DEHA2D11418g	GO:0006406|GO:0070390
CGD:DEHA2F00374g	DEHA2F00374g	GO:0016491|GO:0055114
CGD:DEHA2D13464g	DEHA2D13464g	GO:0030447|GO:0036168|GO:0003755|GO:0034605|GO:0036180|GO:0071216|GO:0036170|GO:0009267|GO:0009405|GO:0016853
CGD:DEHA2E20482g	DEHA2E20482g	GO:0044406|GO:0006281|GO:0008270|GO:0036180|GO:0045324|GO:0036170|GO:0007034|GO:0009267|GO:0009306|GO:0009405|GO:0001410|GO:0044182|GO:0030447|GO:0000011|GO:0003677|GO:0046872|GO:0071248|GO:0071216
CGD:DEHA2E07392g	DEHA2E07392g	GO:0003676|GO:0000166
CGD:DEHA2G12078g	DEHA2G12078g	GO:0046939|GO:0005524|GO:0004017|GO:0019205|GO:0006139|GO:0016776
CGD:DEHA2B16148g	DEHA2B16148g	GO:0003676|GO:0005634|GO:0003677|GO:0008270|GO:0006351
CGD:DEHA2C03168g	DEHA2C03168g	GO:0016881
CGD:DEHA2F11198g	DEHA2F11198g	GO:0017056
CGD:DEHA2F26598g	DEHA2F26598g	GO:0003676|GO:0005524|GO:0010494|GO:0004386
CGD:DEHA2E17974g	DEHA2E17974g	GO:0030448|GO:0000077
CGD:DEHA2B11286g	DEHA2B11286g	GO:0030117|GO:0016192|GO:0030131|GO:0006886
CGD:DEHA2E13200g	DEHA2E13200g	GO:0034605|GO:0035690|GO:0036171|GO:0070887
CGD:DEHA2F17688g	DEHA2F17688g	GO:0009094|GO:0008152|GO:0016597|GO:0004664
CGD:DEHA2B04004g	DEHA2B04004g	GO:0006535
CGD:DEHA2D18810g	DEHA2D18810g	GO:0005634|GO:0008270|GO:0044011|GO:0036180|GO:1900443|GO:1900189|GO:0006355|GO:0010811|GO:0042025|GO:0006357|GO:0000981
CGD:DEHA2C15796g	DEHA2C15796g	GO:0005506|GO:0051536|GO:0016226
CGD:DEHA2A12122g	DEHA2A12122g	GO:0005525|GO:0005634|GO:0005737
CGD:DEHA2C11022g	DEHA2C11022g	GO:0030448|GO:0051125|GO:0005519|GO:0008104|GO:0030010|GO:0031562|GO:0001411
CGD:DEHA2B06050g	DEHA2B06050g	GO:0003755|GO:0035690|GO:0062040|GO:0006457
CGD:DEHA2C08514g	DEHA2C08514g	GO:0030833|GO:0005856|GO:0035690|GO:0015629|GO:0034314|GO:0005885
CGD:DEHA2G19470g	DEHA2G19470g	GO:0090156|GO:0008757|GO:0009405
CGD:DEHA2G02156g	DEHA2G02156g	GO:0008519|GO:0015696|GO:0072488|GO:0016020|GO:0005886
CGD:DEHA2D08228g	DEHA2D08228g	GO:0006338|GO:0031011
CGD:DEHA2E17292g	DEHA2E17292g	GO:0003824
CGD:DEHA2G12232g	DEHA2G12232g	GO:0016705|GO:0006629|GO:0016021|GO:0055114|GO:0006633
CGD:DEHA2F20856g	DEHA2F20856g	GO:0005524|GO:0006298|GO:0030983
CGD:DEHA2C03828g	DEHA2C03828g	GO:0009916|GO:0010230|GO:0005739|GO:0055114|GO:0005886
CGD:DEHA2G14784g	DEHA2G14784g	GO:0003779|GO:0005737|GO:0008154|GO:0062040|GO:0030036|GO:0005886
CGD:DEHA2B11946g	DEHA2B11946g	GO:0005525
CGD:DEHA2A14168g	DEHA2A14168g	GO:0003743|GO:0003723|GO:0005737|GO:0006413
CGD:DEHA2G10010g	DEHA2G10010g	GO:0050661|GO:0008703|GO:0009231|GO:0055114
CGD:DEHA2A06974g	DEHA2A06974g	GO:0051087|GO:0097428|GO:0006457|GO:0001671|GO:0051259
CGD:DEHA2C13068g	DEHA2C13068g	GO:0003676|GO:0005524|GO:0016818|GO:0004386
CGD:DEHA2C05874g	DEHA2C05874g	GO:0055085|GO:0022857|GO:0016020|GO:0016021
CGD:DEHA2B08096g	DEHA2B08096g	GO:0000287|GO:0009165|GO:0004749
CGD:DEHA2B13992g	DEHA2B13992g	GO:0031505|GO:0000920|GO:0006078
CGD:DEHA2C01100g	DEHA2C01100g	GO:0016712|GO:0005506|GO:0016705|GO:0009055|GO:0055114|GO:0004497|GO:0020037
CGD:DEHA2G07502g	DEHA2G07502g	GO:0003677|GO:0032549|GO:0003899|GO:0006351|GO:0042493
CGD:DEHA2F15620g	DEHA2F15620g	GO:0001411
CGD:DEHA2F00352g	DEHA2F00352g	GO:0055085|GO:0022857|GO:0016021
CGD:DEHA2E05324g	DEHA2E05324g	GO:0032040|GO:0030515|GO:0006364
CGD:DEHA2E20460g	DEHA2E20460g	GO:0055085|GO:0022857|GO:0016020|GO:0016021
CGD:DEHA2G02816g	DEHA2G02816g	GO:0009405|GO:0004379|GO:0018008
CGD:DEHA2F05038g	DEHA2F05038g	GO:0005634|GO:0048478|GO:0006974|GO:0007049
CGD:DEHA2G12056g	DEHA2G12056g	GO:0003676|GO:0005634|GO:0005524|GO:0003677|GO:0003678|GO:0016818|GO:0006289|GO:0004386|GO:0006139
