Q9UV50	DEHA2E20944g
Q6BVA0	DEHA2C04246g
Q6BIG3	DEHA2G10714g
Q6BU95	DEHA2C12628g
Q6BNF3	DEHA2E22220g
Q6BLX3	DEHA2F09966g
P00043	DEHA2C12848g
B5RUH6	DEHA2F15840g
Q6BM25	DEHA2F08844g
Q6BWV8	DEHA2B08140g
Q6BGY8	DEHA2G22682g
Q6BS08	DEHA2D12452g
Q6BQN6	DEHA2E03674g
Q6BUQ2	DEHA2C08976g
Q6BHA8	DEHA2G19998g
Q6BLM0	DEHA2F12364g
Q9HGI6	DEHA2B09526g
Q6BHY0	DEHA2G14960g
Q6BZG0	DEHA2A01628g
Q6BQK7	DEHA2E04444g
Q6BLJ9	DEHA2F12848g
Q6BM04	DEHA2F09350g
Q6BRJ9	DEHA2D15818g
Q6BP39	DEHA2E16764g
Q6BQW4	DEHA2E01738g
O42724	DEHA2G17732g
A0A2P1CNR7	
A0A2P1CNR8	
A0A2P1CNR6	
B2ZFX6	
A0A2P1CNS0	
A0A2P1CNR4	
A0A2P1CNS2	
B2ZFX7	
Q9I981	
Q6BSD5	DEHA2D09658g
Q6BHA5	DEHA2G20086g
Q6BJY4	DEHA2F26422g
Q6BP70	DEHA2E16038g
Q6BWW4	DEHA2B08030g
Q6BYF8	DEHA2A09878g
Q6BTT1	DEHA2C16126g
Q6BMV4	DEHA2F02354g
Q6BVH4	DEHA2C02662g
Q6BHJ3	DEHA2G18106g
Q6BHZ2	DEHA2G14696g
Q6BM74	DEHA2F07744g
Q6BKD4	DEHA2F22880g
Q6BQJ1	DEHA2E04840g
Q6BVA7	DEHA2C04092g
Q6BJ73	DEHA2G04664g
Q6BZE9	DEHA2A01892g
Q6BXN9	DEHA2B01474g
Q6BGW8	DEHA2G23254g
Q6BKK7	DEHA2F21032g
Q6BY69	DEHA2A11968g
Q6BP96	DEHA2E15378g
Q6BWG3	DEHA2B11572g
Q6BPY6	DEHA2E09834g
Q6BUR3	DEHA2C08690g
Q6BML3	DEHA2F04422g
Q6BHN9	DEHA2G17094g
Q6BP23	DEHA2E17138g
Q6BL86	DEHA2F15510g
Q6BX32	DEHA2B06380g
Q6BSB9	DEHA2D10032g
Q6BHU6	DEHA2G15708g
Q6BKZ8	DEHA2F17512g
Q6BLA0	DEHA2F15202g
Q6BJ61	DEHA2G04928g
Q6BIJ5	DEHA2G09878g
Q6BY86	DEHA2A11506g
Q6BYK1	DEHA2A08932g
Q6BTC2	DEHA2D01826g
Q6BYI4	DEHA2A09328g
